"day","lon","lat"
1,-70.6056872465779,4.19366768958951
2,-70.578437523,4.17604267648693
3,-70.5503474294166,4.15910464814547
4,NA,NA
5,-70.4919718395986,4.12668893978832
6,-70.4618493621699,4.1109112342673
7,-70.4312125852173,4.09522042495578
8,-70.4001432539933,4.07946669684921
9,-70.3687232312203,4.06350028973085
10,-70.3370345070878,4.04717148886941
11,-70.3051592074198,4.03033061841766
12,-70.2731796000212,4.01282803751153
13,-70.2411780992025,3.99451413907136
14,-70.2092372684906,3.97523935131034
15,-70.1774398215253,3.95485414195502
16,-70.145868621148,3.93320902519068
17,-70.1146066766835,3.91015457134446
18,-70.0837371394188,3.88554141932686
19,-70.0533432962826,3.85922029185606
20,-70.023513690842,3.83106126486061
21,-69.9943815934061,3.80110208146447
22,-69.9661032433466,3.7694668429442
23,-69.9388350217482,3.73628043277428
24,NA,NA
25,-69.8879542082627,3.66575392979315
26,-69.8646540821262,3.62866387771207
27,-69.8429890068637,3.5905227185422
28,-69.8231150398946,3.55145555896043
29,-69.8051881630897,3.51158752457607
30,-69.7893642810347,3.47104375124473
31,-69.7757992200763,3.42994937645456
32,-69.7646487281267,3.38842953083866
33,-69.7560684751956,3.34660932986988
34,-69.750214054607,3.30461386578235
35,-69.7472409848512,3.2625681997652
36,-69.7473047120083,3.22059735446045
37,-69.7505606126706,3.17882630679178
38,NA,NA
39,-69.7672495752902,3.09643154849238
40,-69.7809391268893,3.05618437110016
41,-69.7983507068192,3.01685045913078
42,-69.8196032762132,2.97863973868416
43,-69.8448160102606,2.94176186042556
44,-69.8741083702929,2.90642622438058
45,-69.9076001791266,2.87284201116306
46,-69.945411699553,2.84121821949211
47,-69.9876637158621,2.81176370983994
48,-70.0344776182835,2.78468725400526
49,-70.0859754902255,2.7601975903962
50,-70.1422801981881,2.73850348475887
51,-70.2035154842208,2.71981379605883
52,-70.2698060607934,2.70433754718854
53,-70.3412777079378,2.69228400012777
54,NA,NA
55,-70.5002732694631,2.67928373358943
56,-70.5880545790211,2.67875859092709
57,-70.681482871022,2.68263590101457
58,-70.7805460605077,2.6915300988888
59,-70.8852230028602,2.70608736289108
60,-70.9954945706016,2.72695544145546
61,-71.1113437689105,2.75478392350103
62,-71.23275585036,2.79022452287625
63,-71.3597184291465,2.83393137440597
64,-71.4922215950823,2.88656133860326
65,-71.6302580276284,2.94877431153283
66,-71.7738231102572,3.02123353571933
67,-71.922915045435,3.10460590728065
68,-72.077534970523,3.19956227369951
69,-72.2376870749037,3.30677771579518
70,-72.4033787186441,3.42693180651918
71,-72.574620553016,3.56070883815047
72,-72.7514266432009,3.70879800834625
73,-72.9338145935148,3.87189355425757
74,-73.1218056754972,4.05069482257818
75,-73.3153840264819,4.24584561838809
76,NA,NA
77,-73.7185582748961,4.68676124916205
78,-73.9277256083844,4.93322555404701
79,-74.141663722992,5.19749797276532
80,-74.3601627693165,5.47993365702665
81,-74.5830145613419,5.78088884684556
82,-74.8100125184488,6.10072012231841
83,-75.0409516089533,6.43978354802945
84,-75.2756282948935,6.79843370165918
85,-75.5138404777459,7.17702257819094
86,-75.7553874447303,7.575898361052
87,-76.000069815333,7.99540405160406
88,-76.2476894876509,8.4358759486403
89,-76.4980495841298,8.89764196996302
90,-76.7509543962533,9.38101980882638
91,-77.0062093276981,9.88631491890769
92,-77.2636208354593,10.4138183227733
93,-77.522982013901,10.9636919213246
94,-77.783961091118,11.5351020621984
95,-78.0461595341599,12.1266963555603
96,-78.3091749784671,12.737105042241
97,-78.5726014742708,13.3649471280323
98,-78.8360291948709,14.0088327596303
