"day","lon","lat"
1,-58.3884485455439,-20.180950706867
2,NA,NA
3,NA,NA
4,-58.0891760703519,-21.2217866224722
5,-57.9958255187303,-21.5369016209725
6,NA,NA
7,-57.8193321682933,-22.1194900939719
8,-57.736386973527,-22.3869965121982
9,-57.6571070436662,-22.6386634247603
10,NA,NA
11,-57.5099327437708,-23.0945191712416
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,-57.2129005147229,-23.9572288760862
17,-57.1664072128637,-24.0822033593973
18,NA,NA
19,NA,NA
20,-57.0544319689315,-24.3614589892426
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,NA,NA
28,NA,NA
29,NA,NA
30,NA,NA
31,NA,NA
32,NA,NA
33,NA,NA
34,-57.165621950892,-23.7664073589234
35,NA,NA
36,NA,NA
37,-57.347301157185,-23.2266541515483
38,NA,NA
39,-57.5033413185901,-22.7832300122572
40,NA,NA
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,-58.5725769417681,-19.9523223723042
49,-58.730195113565,-19.5526162520942
50,NA,NA
51,NA,NA
52,-59.2519159120904,-18.2498450177638
53,-59.4424103033193,-17.7808288545812
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,-62.3884502749306,-10.8063842119322
66,NA,NA
67,-62.9944622208389,-9.41402778315289
68,NA,NA
69,NA,NA
70,NA,NA
71,-64.3007864480132,-6.45222798097907
72,-64.6467160746539,-5.67719254185417
73,-65.0002912741505,-4.88922715409263
74,NA,NA
75,-65.7298643711219,-3.27680875647452
76,NA,NA
77,NA,NA
78,NA,NA
79,NA,NA
80,-67.6624739264627,0.925344704420407
81,-68.0635922663961,1.78748596621208
82,NA,NA
83,-68.8766319746555,3.52589689616221
84,NA,NA
85,NA,NA
86,-70.1166214351703,6.1551652294789
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,NA,NA
94,-73.4682632840094,13.1391551272883
95,NA,NA
96,-74.3002118040469,14.851156094885
97,-74.7131055795309,15.6997186769275
98,-75.1234373524887,16.5429908065924
99,-75.5308416751893,17.3807921147901
100,-75.9349649667872,18.2129969155493
101,-76.3354647782875,19.0395338665669
102,-76.7320089844831,19.8603854745962
103,-77.1242749003634,20.6755874828775
104,-77.5119483186819,21.4852281781628
105,-77.8947224644331,22.28944765479
106,-78.2722968607815,23.0884370726545
107,-78.6443760996742,23.8824379452248
108,-79.0106685087047,24.6717414926895
109,-79.3708847039169,25.4566880943075
110,-79.7247446271618,26.2376559625767
111,-80.0722971860026,27.0146351193463
112,-80.4139951065309,27.7870371590301
113,-80.7502779603674,28.5541781435372
114,-81.0815443830655,29.3153160585663
115,-81.408153391049,30.0696525368338
116,-81.7304253723464,30.8163346841497
117,-82.0486427798924,31.5544570098613
118,-82.3630505550538,32.2830634588213
119,-82.6738563086079,33.0011495376424
120,-82.9812302867496,33.7076645239381
121,-83.2853051508416,34.4015137436609
122,-83.5861756013541,35.0815608983273
123,-83.8838978789961,35.7466304214681
124,-84.1784891790133,36.3955098415131
125,-84.4699270183214,37.0269521272549
126,-84.7581485992168,37.6396779916947
127,-85.043050217681,38.2323781304755
128,-85.3244870704793,38.8037217471725
129,-85.6022984506218,39.3528460093936
130,-85.8763390903398,39.879704093835
131,-86.1464528287092,40.3843129542059
132,-86.4124694235578,40.8666726930361
133,-86.6742049090252,41.3267669112228
134,-86.9314620695992,41.7645631589699
135,-87.1840310405367,42.1800134855974
136,-87.4316900437494,42.5730550866173
137,-87.6742062673107,42.9436110475932
138,-87.9113368954583,43.291591185291
139,-88.1428302942969,43.6168929874757
140,-88.3684273564829,43.9194026536108
141,-88.5878630059311,44.1989962395419
142,-88.8008678608791,44.4555409098261
143,-89.0071700509518,44.6888963022265
144,-89.2064971804148,44.8989160090297
145,-89.3985784268242,45.0854491806772
146,-89.5831470152967,45.2483445544621
147,-89.7599988906333,45.3879377626454
148,-89.9290796041013,45.5056569059238
149,-90.0903926371703,45.6030847810656
150,-90.2439817327173,45.6818097208292
151,-90.3899285070475,45.7434236316245
152,-90.5283498777121,45.7895203698426
153,-90.6593953665413,45.821694412246
154,-90.7832443340837,45.8415397821554
155,-90.900103197116,45.8506491987976
156,-91.0102026762606,45.8506134230982
157,-91.1137951151574,45.8430207779998
158,-91.211151907381,45.8294568262732
159,-91.3025610618099,45.8115041928329
160,-91.3883249318179,45.7907425219329
161,-91.4687581290961,45.7687485629266
162,-91.5441856382015,45.7470963802084
163,-91.6149411441676,45.7273576848128
164,-91.6813655303078,45.7111019662171
165,-91.7437360719223,45.6994726220909
166,-91.8021246389821,45.6923505116876
167,-91.856561015087,45.6893833645154
168,-91.90707088746,45.6902190640847
169,-91.9536761712548,45.6945055222776
170,-91.9963953257376,45.701890560451
171,-92.0352436638203,45.7120217977225
172,-92.070233656435,45.7245465469459
173,-92.1013752327945,45.7391117185304
174,-92.1286760778891,45.7553637326406
175,-92.1521419279764,45.7729484397832
176,-92.1717768650646,45.7915110501377
177,-92.1875836110617,45.8106960717452
178,-92.1995638222571,45.8301472577563
179,-92.2077183845223,45.8495075627846
180,-92.2120477097222,45.8684191086102
181,-92.2125520334954,45.8865231592943
182,-92.209231714515,45.9034601058333
183,-92.2020639861351,45.9189205354615
184,-92.1909324334982,45.9327985500081
185,-92.1756975564099,45.9450386908191
186,-92.156220419116,45.95558486051
187,-92.1323627941744,45.9643802955166
188,-92.1039873138905,45.9713675389505
189,-92.0709576294784,45.9764884141047
190,-92.0331385778462,45.9796839986326
191,-91.9903963560903,45.9808945997469
192,-91.9425987036069,45.9800597305558
193,-91.8896150918335,45.9771180878719
194,-91.8313169214453,45.9720075316273
195,-91.7675777270888,45.9646650663884
196,-91.6982733892447,45.9550268249636
197,-91.623282353394,45.9430280547978
198,-91.5424858559053,45.9286031070758
199,-91.4557681567603,45.9116854292856
200,-91.3630167785463,45.8922075613049
201,-91.2641425730084,45.8700966863859
202,-91.1591670111927,45.8452551055086
203,-91.0481504648643,45.8175763967079
204,-90.9311560258571,45.7869535625526
205,-90.8082494676662,45.7532790583857
206,-90.6794992318032,45.7164448137705
207,-90.5449764116317,45.6763422534303
208,-90.4047547333829,45.6328623175504
209,-90.2589105342834,45.585895481575
210,-90.1075227376253,45.5353317755097
211,-89.9506728246779,45.4810608028353
212,-89.7884448031585,45.4229717588808
213,-89.6209251722868,45.3609534488916
214,-89.4482028842268,45.2948943057364
215,-89.2703693020032,45.2246824075481
216,-89.0875181532913,45.1502054947236
217,-88.8997454807187,45.0713509872117
218,-88.7071495879803,44.988006001401
219,-88.5098627439633,44.9000501574629
220,-88.3082538501022,44.8073102265232
221,-88.1027981142767,44.7095913874909
222,-87.8939718513355,44.6067015571539
223,-87.6822515950692,44.4984516441844
224,-87.4681136795547,44.384655667708
225,-87.2520337958048,44.265130853665
226,-87.0344865267025,44.1396977089726
227,-86.8159448633132,44.0081800736211
228,-86.5968797056929,43.8704051507245
229,-86.3777593514404,43.7262035148046
230,-86.1590489755147,43.5754090989215
231,-85.9412101045836,43.4178591610982
232,-85.7247000891935,43.2533942306407
233,-85.509971577341,43.0818580355844
234,-85.2974719923076,42.9030974117672
235,-85.0876430182822,42.71696219528
236,-84.8809200965223,42.5233050993152
237,-84.6776896336185,42.3220281974436
238,-84.4778944130944,42.1135164441561
239,-84.2812134872043,41.8984372074142
240,-84.0873173969199,41.6774591680487
241,-83.895872243619,41.4512486800233
242,-83.7065403489978,41.2204697733055
243,-83.5189808349193,40.985784125859
244,-83.332850123764,40.7478510060065
245,-83.1478023606897,40.5073271873883
246,-82.9634897598366,40.2648668396023
247,-82.7795628760595,40.0211213967795
248,-82.5956708047459,39.7767394077817
249,-82.411461311592,39.5323663706083
250,-82.2265808952127,39.2886445551027
251,-82.0406747844312,39.0462128163953
252,-81.853386873075,38.8057064031098
253,-81.664359594247,38.5677567628401
254,-81.4732337364595,38.332991348163
255,-81.2796561327922,38.1019942009442
256,-81.0833910674016,37.8747581630392
257,-80.88429624562,37.6508202471843
258,-80.6822349797853,37.4297021350228
259,-80.4770738356498,37.2109220226142
260,-80.268682625431,36.9939947985838
261,-80.0569344136142,36.7784321819287
262,-79.8417055342674,36.5637428207197
263,-79.6228756201256,36.3494323554169
264,-79.400327642535,36.135003448567
265,-79.1739479623771,35.9199557843688
266,-78.9436263913215,35.703786040385
267,-78.7092562630895,35.4859878341838
268,-78.4707345143798,35.2660516478629
269,-78.227961775152,35.0434647334854
270,-77.9808424677558,34.8177110022862
271,-77.7292849146391,34.5882709010884
272,-77.4732014540906,34.3546212791044
273,-77.2125196653981,34.1162297995177
274,-76.9474258020749,33.8724351171125
275,-76.6783609231456,33.6224475537333
276,-76.4057750143614,33.3654690051544
277,-76.130115862695,33.1006979473663
278,-75.8518290320088,32.8273289174677
279,-75.5713578063697,32.544551932694
280,-75.2891431036742,32.2515518540836
281,-75.0056233626974,31.9475077029358
282,-74.7212344064376,31.6315919387145
283,-74.4364092843452,31.3029697075783
284,-74.1515780966708,30.9607980733731
285,-73.8671678035363,30.6042252432715
286,-73.5836020219058,30.2323898033699
287,-73.3013008126478,29.8444199796539
288,-73.0206804611529,29.4394329449448
289,-72.7421532532752,29.0165341918679
290,-72.4661272498834,28.5748169982242
291,-72.193001555055,28.1133777775323
292,-71.9229946310197,27.6319137644961
293,-71.6560879510871,27.1309105206381
294,-71.3922367757619,26.6109016757795
295,-71.1313858234197,26.0724164502169
296,-70.8734697762782,25.5159802362555
297,-70.6184137655407,24.9421150885918
298,-70.3661338320812,24.3513401193346
299,-70.1165373601824,23.7441717958872
300,-69.8695234817298,23.1211241394412
301,-69.6249834488656,22.482708823192
302,-69.3828009730453,21.8294351693023
303,-69.1428525291974,21.1618100454283
304,-68.9050076232293,20.4803376610229
