"day","lon","lat"
1,-59.355718039403,-25.0998597464383
2,-59.4033938133839,-25.0269778928069
3,-59.4511209375083,-24.9533619146902
4,-59.4988313024765,-24.8791743950023
5,-59.5464571176877,-24.804578219679
6,-59.593930914761,-24.7297365679852
7,-59.6411855495118,-24.6548129016337
8,-59.6881542023925,-24.579970952822
9,-59.7347703774061,-24.5053747113
10,-59.7809678995014,-24.4311884105774
11,-59.8266809104575,-24.3575765133848
12,-59.8718438632674,-24.2847036964972
13,-59.9163915150291,-24.2127348350274
14,-59.9602589183541,-24.1418349862961
15,-60.0033814113003,-24.072169373377
16,-60.0456946058399,-24.0039033684144
17,-60.0871343748699,-23.937202475801
18,-60.1276368377722,-23.8722323152991
19,-60.1671383445315,-23.8091586051786
20,-60.2055775090663,-23.7481306688106
21,-60.2429109266073,-23.6891544454097
22,-60.2791043332793,-23.632161934742
23,-60.3141234475001,-23.577084401031
24,-60.3479338954334,-23.5238529889369
25,-60.3805012128377,-23.4723987288984
26,-60.4117908471802,-23.422652541972
27,-60.4417681600175,-23.3745452441938
28,-60.4703984296456,-23.328007550479
29,-60.4976468540246,-23.2829700780806
30,-60.5234785539782,-23.2393633496243
31,-60.5478585766761,-23.1971177957354
32,-60.5707518993986,-23.1561637572757
33,-60.5921234335924,-23.1164314872044
34,-60.6119380292181,-23.0778511520794
35,-60.6301604793977,-23.0403528332118
36,-60.646755525365,-23.00386652749
37,-60.6616878617251,-22.9683221478846
38,-60.674924496036,-22.9336484064677
39,-60.6864865302298,-22.8997482212082
40,-60.696449113581,-22.8664986556149
41,-60.7048896396517,-22.8337754822536
42,-60.7118853997593,-22.8014543131742
43,-60.7175135904141,-22.7694106118257
44,-60.7218513202339,-22.7375197030785
45,-60.7249756163287,-22.7056567813923
46,-60.7269634301458,-22.673696917161
47,-60.7278916427688,-22.6415150612631
48,-60.7278370696656,-22.6089860478502
49,-60.7268764648788,-22.5759845953971
50,-60.7250865246577,-22.5423853060422
51,-60.7225438905251,-22.5080626632441
52,-60.719325151781,-22.4728910277799
53,-60.7155068474389,-22.436744632112
54,-60.7111654675957,-22.3994975731519
55,-60.7063774542352,-22.3610238034466
56,-60.7012194032113,-22.3211969001139
57,-60.6957922699258,-22.2798635711156
58,-60.6902443441266,-22.2368185027985
59,-60.6847292680608,-22.1918502675706
60,-60.6794005811985,-22.1447472683909
61,-60.6744117087534,-22.0952977219627
62,-60.6699159461378,-22.0432896406238
63,-60.666066439373,-21.9885108131057
64,-60.663016161476,-21.9307487843594
65,-60.6609178848399,-21.869790834682
66,-60.659924149633,-21.8054239583937
67,-60.660187228236,-21.7374348423615
68,-60.6618590857405,-21.6656098446959
69,-60.6650913365295,-21.5897349739892
70,-60.6700351969629,-21.5095958695053
71,-60.6768414341892,-21.424977782781
72,-60.6856603111047,-21.335665561144
73,-60.6966415274806,-21.2414436337099
74,-60.7099341572802,-21.142096000474
75,-60.7256698698337,-21.037438053391
