"day","lon","lat"
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,-71.2946167912286,-48.8895453855818
8,NA,NA
9,-71.2766626572166,-48.8615219488596
10,-71.2660186044713,-48.8477416458165
11,NA,NA
12,-71.2415618710314,-48.8193697625471
13,NA,NA
14,-71.2131030686676,-48.7882158087582
15,NA,NA
16,NA,NA
17,-71.163504868918,-48.7318005242285
18,-71.1452676812172,-48.7093904850594
19,NA,NA
20,-71.1064481640463,-48.6576269002654
21,-71.0859376859305,-48.6277603723724
22,NA,NA
23,NA,NA
24,NA,NA
25,-70.9974148605534,-48.4757262473253
26,-70.9738523736316,-48.4283227230243
27,NA,NA
28,-70.92528830747,-48.3211265940327
29,NA,NA
30,NA,NA
31,NA,NA
32,-70.823562502656,-48.0547269641872
33,-70.7974147770809,-47.9767717739822
34,NA,NA
35,-70.7445491404405,-47.8065954743423
36,NA,NA
37,NA,NA
38,-70.6644416760807,-47.5142542298278
39,-70.6376867840829,-47.4065347548541
40,-70.6109731873717,-47.2935146312478
41,-70.5843410372171,-47.1750930101561
42,-70.5578302187155,-47.051167499857
43,NA,NA
44,-70.5053312350821,-46.7864224314823
45,-70.4794237114097,-46.6455370963163
46,-70.4537982209287,-46.4989929764509
47,-70.4284947130173,-46.346804033059
48,NA,NA
49,NA,NA
50,-70.3549075009197,-45.8564973150875
51,NA,NA
52,NA,NA
53,-70.2856034331573,-45.315825157815
54,NA,NA
55,NA,NA
56,-70.2215685610583,-44.7250649853943
57,NA,NA
58,NA,NA
59,-70.1637386067907,-44.084458919957
60,NA,NA
61,-70.1290711305473,-43.6298037679169
62,-70.1130030418541,-43.3941935182518
63,-70.0978356987613,-43.1529818615738
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,NA,NA
69,NA,NA
70,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,-70.0027561885113,-40.1084518522044
75,NA,NA
76,NA,NA
77,NA,NA
78,-70.0070968650295,-38.8121520639935
79,NA,NA
80,NA,NA
81,-70.0258956406542,-37.770224606415
82,NA,NA
83,-70.045213475415,-37.0437838694042
84,NA,NA
85,NA,NA
86,NA,NA
87,-70.0971167699311,-35.5215663399643
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,NA,NA
97,NA,NA
98,NA,NA
99,-70.3134617688647,-30.5316530616214
100,NA,NA
101,NA,NA
102,NA,NA
103,NA,NA
104,NA,NA
105,NA,NA
106,NA,NA
107,NA,NA
108,NA,NA
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,NA
113,NA,NA
114,-70.5184632912125,-24.2807467756912
115,NA,NA
116,NA,NA
117,NA,NA
118,NA,NA
119,NA,NA
120,NA,NA
121,NA,NA
122,NA,NA
123,NA,NA
124,NA,NA
125,NA,NA
126,NA,NA
127,-70.4354700438763,-20.144948296228
128,NA,NA
129,NA,NA
130,NA,NA
131,NA,NA
132,NA,NA
133,NA,NA
134,NA,NA
135,NA,NA
136,-70.2469813562731,-18.235382780143
137,-70.2207449450269,-18.0725750311043
138,NA,NA
139,NA,NA
140,NA,NA
141,NA,NA
142,NA,NA
143,NA,NA
144,NA,NA
145,NA,NA
146,NA,NA
147,NA,NA
148,NA,NA
149,NA,NA
150,NA,NA
151,NA,NA
152,NA,NA
153,NA,NA
154,NA,NA
155,NA,NA
156,NA,NA
157,NA,NA
158,NA,NA
159,NA,NA
160,NA,NA
161,NA,NA
162,-69.3372484694124,-16.7510411335369
163,NA,NA
164,NA,NA
165,NA,NA
166,NA,NA
167,-69.1287820106889,-17.0094663322876
168,NA,NA
169,-69.0443378168645,-17.1498200303513
170,NA,NA
171,NA,NA
172,NA,NA
173,-68.8753559061556,-17.4869712321077
174,NA,NA
175,-68.7917200748764,-17.6811926248836
176,NA,NA
177,NA,NA
178,NA,NA
179,NA,NA
180,NA,NA
181,NA,NA
182,NA,NA
183,NA,NA
184,-68.4368077024362,-18.7275291807451
185,NA,NA
186,NA,NA
187,NA,NA
188,-68.2980739877282,-19.2632426696708
189,NA,NA
190,NA,NA
191,NA,NA
192,NA,NA
193,NA,NA
194,NA,NA
195,NA,NA
196,NA,NA
197,-68.0414218904063,-20.6403985568777
198,NA,NA
199,NA,NA
200,NA,NA
201,NA,NA
202,NA,NA
203,NA,NA
204,NA,NA
205,NA,NA
206,NA,NA
207,NA,NA
208,-67.8304852731015,-22.8406428891904
209,NA,NA
210,NA,NA
211,NA,NA
212,NA,NA
213,NA,NA
214,-67.7625475018953,-24.3839437569182
215,NA,NA
216,NA,NA
217,NA,NA
218,NA,NA
219,NA,NA
220,NA,NA
221,NA,NA
222,NA,NA
223,NA,NA
224,NA,NA
225,NA,NA
226,-67.7287594026576,-28.443616570189
227,NA,NA
228,NA,NA
229,NA,NA
230,NA,NA
231,NA,NA
232,NA,NA
233,-67.7776802991787,-31.4257520578817
234,-67.7893220059343,-31.8808620900627
235,-67.8022024539458,-32.3420778346097
236,NA,NA
237,NA,NA
238,NA,NA
239,NA,NA
240,-67.8861699844479,-34.7252802815459
241,-67.9070719070557,-35.2142257577989
242,-67.9293744248956,-35.7057861072548
243,-67.9530734116054,-36.199119727901
244,NA,NA
245,NA,NA
246,-68.0324944377419,-37.6813305923219
247,NA,NA
248,NA,NA
249,NA,NA
250,NA,NA
251,NA,NA
252,NA,NA
253,NA,NA
254,-68.3035773693055,-41.503174210552
255,-68.3432379271524,-41.9528414993811
256,NA,NA
257,NA,NA
258,NA,NA
259,NA,NA
260,NA,NA
261,-68.6051780214306,-44.4421799668625
262,-68.6524018429659,-44.8185750411048
263,-68.7004955362577,-45.1835103501094
264,NA,NA
265,NA,NA
266,-68.8493585412557,-46.2082762493871
267,-68.9002815109746,-46.5261124730317
268,-68.9517364499039,-46.8318788560422
269,-69.0036482382561,-47.1254638591929
270,-69.0559393680599,-47.406758436734
271,-69.1085300206466,-47.6756556064404
272,NA,NA
273,-69.214279619074,-48.175837540045
274,-69.2672682486406,-48.4069148099333
275,-69.3202160130197,-48.6251788417972
276,NA,NA
277,-69.4256410461263,-49.0231369493542
278,-69.4779689829463,-49.203363634593
279,NA,NA
280,-69.5815144149139,-49.5282595302771
281,-69.6325981134112,-49.6736996632722
282,-69.6831349456778,-49.8083086161519
283,NA,NA
284,-69.7823123390348,-50.046532315411
285,NA,NA
286,NA,NA
287,NA,NA
288,-69.971366187526,-50.4093020052524
289,-70.0163512959268,-50.4784198225287
290,NA,NA
291,-70.1032029798269,-50.5932509628623
292,NA,NA
293,-70.1855545846003,-50.6792061600668
294,-70.224923204729,-50.712219772649
295,-70.2630654514869,-50.7390246016037
296,-70.3000048600152,-50.7599212786059
297,NA,NA
298,-70.3703797707881,-50.7851839860304
299,-70.4038710897849,-50.7901438425154
300,-70.4362710348749,-50.7903834530101
301,NA,NA
302,-70.4979220804577,-50.7778787307603
303,-70.5272385077833,-50.7657209171396
304,-70.5555940604335,-50.7500161078148
305,-70.5830237472615,-50.7310561505858
306,-70.6095633860258,-50.7091324980114
307,-70.6352495364594,-50.684536291548
308,-70.6601194368163,-50.6575584393584
309,-70.6842109440128,-50.6284896874396
310,-70.7075624775488,-50.597620684163
311,-70.7302129673362,-50.5652420383597
312,-70.7522011370987,-50.5316328761146
313,NA,NA
314,NA,NA
315,NA,NA
316,-70.8341354740957,-50.3873971417042
317,-70.8532562969399,-50.3493371810653
318,-70.8718889813011,-50.310655974472
319,-70.8900621086431,-50.2714431484069
320,-70.9078043016522,-50.2317883696871
321,-70.9251442162149,-50.1917813536429
322,-70.9421105343727,-50.1515118718492
323,-70.9587319581754,-50.1110697588862
324,-70.9750372044735,-50.0705449186407
325,-70.9910550005991,-50.0300273295906
326,-71.0068140810003,-49.9896070498071
327,-71.0223431847618,-49.9493742210031
328,-71.0376710540002,-49.9094190719083
329,-71.0528264332164,-49.8698319212399
330,NA,NA
331,NA,NA
332,-71.0973387935939,-49.753928870155
333,NA,NA
334,NA,NA
335,-71.1399142454256,-49.642846847042
336,-71.1535476082439,-49.6069901654853
337,-71.1668561982024,-49.5717544895761
338,-71.1798127586619,-49.537161315953
339,-71.1923900733337,-49.503232199354
340,NA,NA
341,-71.2162982719512,-49.4374526344219
342,-71.2275748797959,-49.4056455672246
343,-71.2383636792441,-49.3745893145851
344,-71.2486375791978,-49.3443056885232
345,-71.2583694976601,-49.3148165450142
346,NA,NA
347,NA,NA
348,-71.2840422197186,-49.231330556471
349,-71.2913324849944,-49.205199937247
350,NA,NA
351,-71.303834436957,-49.1554196923652
352,NA,NA
353,-71.3133646318674,-49.1088418833376
354,-71.316940052994,-49.0867143776552
355,-71.3196821423477,-49.0653400848079
356,-71.3215607002277,-49.0447032190033
357,-71.3225455004357,-49.0247879913831
358,-71.3226062947545,-49.0055786044909
359,NA,NA
360,NA,NA
361,NA,NA
362,-71.3130039766556,-48.935482943773
363,-71.3079906307949,-48.9195651558114
364,NA,NA
365,-71.2946167912248,-48.8895453855617
