"day","lon","lat"
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,NA,NA
8,NA,NA
9,NA,NA
10,NA,NA
11,NA,NA
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,NA,NA
17,NA,NA
18,NA,NA
19,NA,NA
20,NA,NA
21,-70.3057313285899,5.66498981882327
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,NA,NA
28,NA,NA
29,NA,NA
30,NA,NA
31,NA,NA
32,NA,NA
33,NA,NA
34,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,NA,NA
40,NA,NA
41,-71.8090724857251,5.07380082395435
42,NA,NA
43,NA,NA
44,NA,NA
45,NA,NA
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,NA
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,-73.2190528149347,6.0427095650109
57,NA,NA
58,NA,NA
59,NA,NA
60,-73.6411325841867,6.52303466779032
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,-74.3150167838387,7.43024183970852
67,NA,NA
68,-74.5512571531352,7.78421961475054
69,NA,NA
70,-74.7936679826069,8.16479653933525
71,NA,NA
72,NA,NA
73,NA,NA
74,-75.2980122579912,9.0078912161773
75,NA,NA
76,NA,NA
77,-75.6942388503823,9.71454019284779
78,NA,NA
79,NA,NA
80,NA,NA
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
85,NA,NA
86,NA,NA
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,NA,NA
97,NA,NA
98,NA,NA
99,NA,NA
100,NA,NA
101,NA,NA
102,NA,NA
103,NA,NA
104,-80.1355920746547,19.4800586885336
105,NA,NA
106,NA,NA
107,NA,NA
108,NA,NA
109,-81.1891437611132,22.0621509506444
110,NA,NA
111,NA,NA
112,NA,NA
113,NA,NA
114,-82.3440009726846,24.9046588225156
115,-82.5884937553189,25.5033238649826
116,-82.8378340481465,26.1117762058125
117,NA,NA
118,-83.3517223834854,27.3575546864031
119,-83.6166286209491,27.9946272997157
120,-83.8871000918957,28.6409797219125
121,-84.163344575976,29.2964747358398
122,-84.4455827272745,29.9609705627777
123,-84.7340489556493,30.6343206560875
124,-85.0289923457945,31.3163733404298
125,-85.3306267597676,32.0067628763477
126,-85.6390203777227,32.7044901323962
127,-85.954203026183,33.4084187084635
128,-86.2761909376104,34.117390356543
129,-86.6049850488053,34.8302272003939
130,-86.9405691814064,35.545734259737
131,-87.2829081029085,36.262702242103
132,-87.6319454679906,36.9799105608586
133,-87.9876016415497,37.6961305339072
134,-88.3497714067465,38.4101287142494
135,-88.7183215635589,39.1206703010621
136,-89.0930884258683,39.8265225783582
137,-89.4738752280065,40.5264583276493
138,-89.8604494548377,41.2192591612613
139,-90.2525401130742,41.903718724235
140,-90.6498349653122,42.5786457147297
141,-91.0519777525333,43.2428666757943
142,-91.4585375802269,43.8952242200678
143,-91.8688977918002,44.5345583203659
144,-92.2823317280687,45.1597128883853
145,-92.6980348725709,45.7695429305826
146,-93.1151218912762,46.3629173664963
147,-93.5326241996159,46.9387215341255
148,-93.9494881756683,47.4958593357128
149,-94.3645741396685,48.0332549804099
150,-94.7766562228303,48.5498542844174
151,-95.1844232488172,49.0446254942515
152,-95.5864807478801,49.5165596040485
153,-95.9813542171753,49.9646701442062
154,-96.3674937295736,50.3879924250649
155,-96.7432799786988,50.7855822272572
156,-97.1070318279766,51.1565139381163
157,-97.4570154081201,51.4998781429168
158,-97.7914547794262,51.8147786894247
159,-98.1086753254007,52.1005224238296
160,-98.4079780663955,52.3578444256469
161,-98.6891698197246,52.5881035235219
162,-98.952143534795,52.7926408342133
163,-99.1968739627907,52.9727760676861
164,-99.423414682638,53.1298073829742
165,-99.6318945530885,53.2650116841783
166,-99.822513680699,53.3796452791979
167,-99.9955389941569,53.4749448308959
168,-100.151299513926,53.5521285369794
169,-100.290181402853,53.6123974810483
170,-100.412622878995,53.656937103345
171,-100.519109065921,53.6869187450371
172,-100.610166849417,53.7035012252268
173,-100.686359802261,53.7078324146061
174,-100.748283231516,53.7010507743185
175,-100.796559395399,53.6842868328624
176,-100.831832657698,53.6586385621238
177,-100.854761920154,53.6248770953311
178,-100.866017486821,53.5835521137117
179,-100.866280231832,53.5352052969757
180,-100.856239049929,53.4803750945508
181,-100.836588444409,53.4195973981906
182,-100.808026296989,53.3534061714203
183,-100.771251822481,53.2823340316503
184,-100.72696370976,53.2069127819077
185,-100.67585844893,53.1276738899045
186,-100.618628844075,53.0451489134982
187,-100.555962709318,52.9598698718785
188,-100.488541745699,52.872369563035
189,-100.417040595519,52.7831818284532
190,-100.342126070025,52.6928417664864
191,-100.264456546331,52.6018858965337
192,-100.184681528853,52.51085227635
193,-100.103426131935,52.4202693795172
194,-100.020957071792,52.3304094923683
195,-99.9371884618071,52.2412873097044
196,-99.8520195198076,52.1529056367841
197,-99.7653498283917,52.0652665695275
198,-99.6770793046441,51.9783714904729
199,-99.5871081687794,51.8922210639581
200,-99.4953369117109,51.8068152304766
201,-99.4016662616457,51.7221532002076
202,-99.3059971497144,51.6382334456296
203,-99.208230674823,51.5550536932844
204,NA,NA
205,NA,NA
206,-98.9013598175802,51.3099203261749
207,NA,NA
208,NA,NA
209,-98.5720606764448,51.0712914033119
210,-98.4568472373726,50.9931613528724
211,NA,NA
212,NA,NA
213,-98.0912685821353,50.7612974825027
214,-97.9612784086673,50.6839694662188
215,-97.8264842292246,50.6061675845328
216,-97.6864501792,50.5276149938022
217,NA,NA
218,-97.3889450701886,50.3671334771193
219,-97.2306291343438,50.2846333107826
220,NA,NA
221,-96.8928032045264,50.1136558998903
222,-96.7124858929127,50.0245821026527
223,-96.524039425267,49.9327124865417
224,-96.3270788566436,49.8377362242839
225,-96.1212277382963,49.7393368979606
226,-95.9061187580407,49.6371921750231
227,-95.6813947186829,49.5309733837681
228,-95.4467697923909,49.4203242189269
229,-95.2021044807845,49.3048349681695
230,-94.9472882596259,49.1840834854365
231,-94.6822218606685,49.0576413989668
232,-94.4068179821789,48.9250739251059
233,-94.1210020073161,48.7859396985704
234,-93.8247127258185,48.6397906224158
235,-93.5179030555113,48.4861717427223
236,-93.2005407584921,48.3246211521843
237,-92.8726091470996,48.1546699276913
238,-92.5341077743449,47.9758421074127
239,-92.1850531028087,47.7876547130096
240,-91.8254791456962,47.5896178228778
241,-91.4554380739668,47.3812347035401
242,-91.0750007821211,47.1620020053533
243,-90.6842574063469,46.9314100307079
244,-90.2833178039303,46.6889430924793
245,-89.872466092875,46.4341806676039
246,-89.4525270060088,46.1670487110595
247,-89.0244312781408,45.887555322685
248,-88.5890973976023,45.5957177570792
249,-88.147429697504,45.2915630609064
250,-87.7003165340059,44.9751286033487
251,-87.2486285638792,44.6464624985424
252,-86.7932171330808,44.3056239201504
253,-86.3349127871403,43.9526833088495
254,-85.8745239126617,43.5877224741215
255,-85.4128355179445,43.21083459258
256,-84.9506081593314,42.8221241058671
257,-84.4885770176587,42.4217065211227
258,-84.027451128518,42.0097081188847
259,-83.5679127670658,41.5862655721549
260,-83.1106169877298,41.151525482412
261,-82.6561913166124,40.7056438377334
262,-82.2052393560294,40.2488359582676
263,-81.7583566574024,39.7816019024307
264,-81.3161158932841,39.3045510607143
265,-80.8790600759196,38.8183106837953
266,-80.4477030300152,38.3235249292828
267,-80.0225300005557,37.8208538322856
268,-79.603998379504,37.3109721430564
269,-79.1925385402644,36.7945680454906
270,-78.7885547685132,36.2723417709912
271,-78.3924262781364,35.7450041231647
272,-78.0045083015182,35.2132749304254
273,-77.6251332432203,34.6778814430765
274,-77.2546118870279,34.1395566927782
275,-76.8932346469064,33.599037832701
276,-76.5412728524772,33.0570644752869
277,-76.1989800614476,32.5143770469978
278,-75.8665933909371,31.9717151761321
279,-75.5443075304305,31.4297934402218
280,-75.2320692151607,30.8891254460271
281,-74.9297037082848,30.3501196296259
282,-74.637039178201,29.8131799484441
283,-74.3539078712798,29.2787064092284
284,-74.0801462406737,28.7470947688483
285,-73.8155950560053,28.2187362507717
286,-73.5600994963838,27.694017280587
287,-73.3135092280221,27.1733192420854
288,-73.0756784684333,26.6570182564731
289,-72.8464660382319,26.1454849855206
290,-72.6257354025174,25.6390844615867
291,-72.4133547027116,25.1381759449464
292,-72.2091967803194,24.6431128102103
293,-72.0131391935314,24.1542424623397
294,-71.8250642278868,23.6719062834852
295,-71.6448589018481,23.1964396109058
296,-71.4724106268981,22.7281606718153
297,NA,NA
298,-71.1500539223462,21.8136201901953
299,-70.9997226941079,21.3673791234699
300,NA,NA
301,NA,NA
302,-70.5897328131641,20.0727907713582
303,-70.4661163943528,19.6559578672022
304,NA,NA
305,NA,NA
306,NA,NA
307,-70.0323021525548,18.0618259979654
308,NA,NA
309,NA,NA
310,NA,NA
311,NA,NA
312,-69.6149924756515,16.2326024190236
313,NA,NA
314,NA,NA
315,NA,NA
316,-69.3704192701196,14.897674748556
317,NA,NA
318,-69.2751319479344,14.2710779757838
319,NA,NA
320,NA,NA
321,NA,NA
322,NA,NA
323,NA,NA
324,NA,NA
325,NA,NA
326,NA,NA
327,NA,NA
328,NA,NA
329,NA,NA
330,NA,NA
331,NA,NA
332,NA,NA
333,NA,NA
334,NA,NA
335,NA,NA
336,NA,NA
337,NA,NA
338,NA,NA
339,NA,NA
340,NA,NA
341,NA,NA
342,NA,NA
343,NA,NA
344,-69.2843522914675,8.18760742508256
345,NA,NA
346,NA,NA
347,NA,NA
348,NA,NA
349,NA,NA
350,NA,NA
351,NA,NA
352,NA,NA
353,NA,NA
354,NA,NA
355,NA,NA
356,NA,NA
357,NA,NA
358,NA,NA
359,NA,NA
360,NA,NA
361,NA,NA
362,NA,NA
363,NA,NA
364,-70.305731328606,5.66498981885359
365,NA,NA
