"day","lon","lat"
1,-60.1913759679164,-27.18526582078
2,-60.2093309522402,-27.2273795798531
3,-60.2286216671892,-27.2684110197418
4,-60.2492386195828,-27.3083592557639
5,-60.2711721831217,-27.3472234263867
6,-60.2944125999638,-27.3850026934447
7,-60.3189499823194,-27.4216962423929
8,-60.3447743140622,-27.4573032825919
9,-60.3718754523599,-27.491823047625
10,-60.4002431293234,-27.5252547956457
11,-60.4298669536742,-27.5575978097558
12,NA,NA
13,-60.4928408726212,-27.6190148958544
14,NA,NA
15,-60.5607116758077,-27.6760690858056
16,NA,NA
17,-60.6333919656954,-27.7287555874259
18,NA,NA
19,-60.7107925375386,-27.7770700531391
20,-60.7512340345511,-27.7995590413102
21,NA,NA
22,NA,NA
23,NA,NA
24,-60.924228307826,-27.872779779579
25,-60.9701938011378,-27.8852988660894
26,-61.0172097538482,-27.8948648963319
27,-61.0652578972968,-27.9011595298281
28,-61.1143199042962,-27.9038647794928
29,-61.1643773930173,-27.9026628581808
30,NA,NA
31,-61.2674050383058,-27.8872663022149
32,-61.3203381927592,-27.8724354513703
33,-61.3741928323629,-27.8524245617277
34,-61.4289503598013,-27.8269138985925
35,-61.4845921460804,-27.7955826235764
36,-61.5410995342879,-27.758108516655
37,-61.5984538433322,-27.7141676819866
38,-61.6566362011352,-27.6634426040949
39,-61.715625172202,-27.6057387187538
40,NA,NA
41,-61.8359293637221,-27.4689931623304
42,-61.8971977692562,-27.3897488822909
43,-61.9591792184382,-27.3031179285757
44,-62.0218503815028,-27.2089929716911
45,-62.0851879681409,-27.1072641242417
46,-62.1491687320249,-26.9978188618649
47,-62.2137694752499,-26.8805419466042
48,-62.278967052687,-26.7553153530815
49,-62.3447383762502,-26.6220181978585
50,-62.4110604190732,-26.4805266724264
51,-62.4779102195967,-26.3307139803008
52,-62.5452648855626,-26.1724502787476
53,-62.6131015979162,-26.0056026257192
54,-62.6813976146139,-25.8300349326297
55,-62.7501302743355,-25.6456079236619
56,-62.8192769710431,-25.4521855866398
57,-62.8888140598065,-25.2498814506472
58,-62.9587165369755,-25.039137709963
59,-63.0289594205616,-24.8204220046692
60,-63.0995178521818,-24.5942061744835
61,-63.1703671005666,-24.36096678549
62,-63.2414825649233,-24.1211855981928
63,-63.312839778151,-23.8753499764481
64,-63.3844144099107,-23.6239532369727
65,-63.456182269545,-23.367494939313
66,-63.5281193088538,-23.1064811163484
67,NA,NA
68,NA,NA
69,-63.7447072137901,-22.3012671132725
70,NA,NA
71,-63.8895108039555,-21.7512601043874
72,-63.9619661989559,-21.4739166098923
73,-64.034426626998,-21.1957482076749
74,-64.1068692609553,-20.9173135393092
75,NA,NA
76,-64.2516097051504,-20.3611646549811
77,NA,NA
78,NA,NA
79,-64.4680156554979,-19.5311439650217
80,-64.5398728444271,-19.2561895968504
81,-64.611553901645,-18.9823462152781
82,-64.6830368534888,-18.7097654778363
83,-64.7542999046112,-18.4385994658088
84,-64.8253214379942,-18.1690005943069
85,NA,NA
86,-64.966554374125,-17.6351150651676
87,-65.0367234324679,-17.3711341032793
88,-65.1065662832309,-17.1093314982332
89,-65.1760621959376,-16.8498600057078
90,-65.2451906153616,-16.592872192007
91,-65.3139311605017,-16.3385203523015
92,-65.3822636234194,-16.0869564311402
93,-65.4501682276926,-15.8383040589986
94,-65.5176264044966,-15.592574504285
95,-65.5846200086509,-15.3497497627319
96,-65.65113105668,-15.1098104035016
97,NA,NA
98,-65.7826343477093,-14.6385032385097
99,-65.847591414949,-14.4070898313762
100,-65.9119955702345,-14.1784706899887
101,NA,NA
102,-66.0390764729111,-13.7295103871631
103,-66.1017192537318,-13.5091139369066
104,-66.1637411842619,-13.2914012568674
105,NA,NA
106,-66.2858561295731,-12.8639048364877
107,NA,NA
108,NA,NA
109,NA,NA
110,-66.5219133616181,-12.0397169023167
111,NA,NA
112,NA,NA
113,-66.6913134259125,-11.44798718808
114,-66.7462525142617,-11.25611730511
115,-66.8004075767376,-11.0671220406223
116,NA,NA
117,NA,NA
118,NA,NA
119,NA,NA
120,-67.0590052254731,-10.1691651191617
