"day","lon","lat"
1,NA,NA
2,-65.7258845861345,-50.5361698430456
3,-65.7493460877018,-50.5067757429401
4,-65.7750951315323,-50.4769593639346
5,-65.8029749689579,-50.4468984681046
6,-65.832829476148,-50.4167708408147
7,-65.8645032493161,-50.3867542997745
8,-65.8978416878327,-50.357026701903
9,-65.9326910653901,-50.3277659480705
10,-65.9688985893742,-50.2991499857873
11,-66.0063124486087,-50.2713568099213
12,-66.0447818496366,-50.2445644615291
13,-66.084157041713,-50.2189510248851
14,NA,NA
15,NA,NA
16,-66.2062357121667,-50.1509655667484
17,-66.2477576716311,-50.1318492865619
18,NA,NA
19,NA,NA
20,-66.3727868381231,-50.0876317601387
21,NA,NA
22,-66.4551670514003,-50.0705979956816
23,-66.4957712933338,-50.0657993972942
24,NA,NA
25,NA,NA
26,-66.6143614815269,-50.0649622934755
27,-66.6525719930659,-50.0688381464862
28,-66.6899994112657,-50.0746095066571
29,-66.7265693159993,-50.0821675037597
30,-66.7622069692458,-50.0914034894007
31,-66.7968372939725,-50.1022090518619
32,-66.8303848540731,-50.1144760274585
33,-66.8627738353556,-50.1280965084278
34,-66.8939280275693,-50.1429628473661
35,-66.9237708074697,-50.1589676582199
36,-66.952225122919,-50.1760038138433
37,-66.9792134780251,-50.1939644401205
38,-67.0046579193219,-50.2127429066611
39,NA,NA
40,-67.0507798092228,-50.2520570105852
41,-67.0717086201557,-50.2717595823814
42,-67.0914576379099,-50.2908232314203
43,-67.1102080303335,-50.3087448751455
44,NA,NA
45,-67.1454353371426,-50.3391489247527
46,-67.1622724917251,-50.3506239684464
47,-67.1788315383628,-50.3589420510764
48,-67.1952916604073,-50.3635981988464
49,NA,NA
50,-67.2286294418961,-50.3599008029832
51,-67.2458627004756,-50.350532838116
52,-67.2637079223324,-50.335473749098
53,-67.282340592937,-50.3142130493719
54,-67.3019348752862,-50.2862385958141
55,-67.3226633390414,-50.2510363838751
56,-67.3446966587693,-50.2080903367685
57,-67.3682029875006,-50.1568837041028
58,-67.3933364600811,-50.096959998565
59,-67.4202336094102,-50.0279417730099
60,-67.4490270517115,-49.949454560389
61,NA,NA
62,NA,NA
63,-67.5480605930346,-49.6533952697283
64,-67.5856953774635,-49.5332347904494
65,-67.6258340392253,-49.4016928820306
66,-67.6685845753577,-49.2583786580068
67,-67.7140496643052,-49.1028984233555
68,-67.762326324701,-48.9348557356813
69,-67.8135055822776,-48.7538515077502
70,-67.8676721476213,-48.5594841569406
71,-67.9249041074962,-48.351349807609
72,-67.9852726324465,-48.1290425528015
73,NA,NA
74,-68.115667859442,-47.6402775834776
75,-68.1857994949067,-47.373002635496
76,-68.2591771818692,-47.0902207200136
77,-68.335515992112,-46.792493119742
78,-68.414505371515,-46.4804773451407
79,-68.4958407930823,-46.1548375305009
80,NA,NA
81,-68.6643667492865,-45.4653780099501
82,-68.7509853924291,-45.1029231750271
83,-68.838807410017,-44.7295743928947
84,NA,NA
85,-69.0170149477328,-43.9530098064734
86,-69.1069008976023,-43.5512203768342
87,-69.1969914098666,-43.1413892275699
88,-69.2870610359162,-42.7242471590071
89,-69.3768940830735,-42.3005311996009
90,NA,NA
91,NA,NA
92,NA,NA
93,-69.7298812709647,-40.5548516117015
94,-69.8156281750569,-40.109541281105
95,-69.9000425236676,-39.6624565031377
96,-69.9829747845747,-39.2146429093989
97,-70.064284200134,-38.7671463409502
98,-70.1438382888774,-38.3210115704248
99,-70.2215123268082,-37.8772810432851
100,-70.2971888131325,-37.4369936604661
101,-70.3707569245085,-37.0011836240445
102,-70.4421119612722,-36.5708793665988
103,-70.5111547884902,-36.1471025837106
104,-70.5777912741256,-35.7308673875079
105,-70.6419317260447,-35.3231795974528
106,-70.703490329093,-34.9250361825872
107,-70.7623845829715,-34.5374248673934
108,-70.8185347411961,-34.161323911183
109,-70.8718632509728,-33.7977020686975
110,-70.9222941934234,-33.44751873724
111,-70.9697527231869,-33.1117242933682
112,-71.0141806083442,-32.7911619071489
113,-71.0556371736455,-32.485939095562
114,-71.0942299092876,-32.1958352502292
115,-71.130060908186,-31.9206286111397
116,-71.1632270096846,-31.6600982704195
117,-71.1938201667812,-31.4140245699308
118,-71.221927785958,-31.1821894417787
119,-71.2476330421132,-30.9643766957802
120,-71.2710151708048,-30.7603722579073
121,-71.2921497398321,-30.5699643634129
122,-71.3111089019617,-30.392943708224
123,-71.3279616304399,-30.2291035619698
124,-71.3427739387726,-30.0782398458228
125,-71.3556090861267,-29.9401511780982
126,-71.3665277695602,-29.8146388904579
127,-71.3755883041966,-29.7015070172945
128,-71.3828467923478,-29.6005622607503
129,-71.3883572825006,-29.511613933654
130,-71.392174017447,-29.4344590538274
131,-71.3943808390593,-29.3686752652966
132,-71.3950840077982,-29.313671987697
133,-71.3943888646166,-29.2688566119559
134,-71.392399467027,-29.2336385675417
135,-71.3892188274919,-29.2074290015287
136,-71.384949132608,-29.1896404686921
137,-71.3796919439256,-29.1796866362532
138,-71.373548381065,-29.1769820064473
139,-71.3666192876806,-29.180941659528
140,-71.359005380687,-29.1909810194257
141,-71.3508073830531,-29.2065156438752
142,-71.342126140381,-29.2269610404238
143,-71.3330627213773,-29.2517325094844
144,-71.323718502287,-29.280245015146
145,-71.3141952352555,-29.3119130843458
146,-71.3045951005545,-29.3461507346568
147,-71.2950207425592,-29.3823714307512
148,-71.2855740254227,-29.4199942851623
149,-71.2763081051452,-29.4586795553914
150,-71.2672124219773,-29.4984012542701
151,-71.25827210287,-29.5391544154788
152,-71.2494722233236,-29.5809341290336
153,-71.2407978081813,-29.6237355495261
154,-71.2322338322085,-29.6675539042308
155,-71.2237652204436,-29.7123845011343
156,-71.215376848327,-29.7582227368519
157,NA,NA
158,-71.1987800760044,-29.8529042011011
159,-71.1905411766739,-29.9017387358292
160,-71.1823215174012,-29.9515635368918
161,-71.1741057195868,-30.0023745592813
162,-71.1658783509892,-30.0541678920293
163,-71.1576239242256,-30.1069397654587
164,-71.1493268950353,-30.1606865583326
165,NA,NA
166,-71.1325425861046,-30.2710910018735
167,-71.1240304068149,-30.3276993777912
168,-71.1154401947897,-30.3850896075309
169,-71.1067790153799,-30.4431086325949
170,-71.0980539923019,-30.5016034677211
171,-71.0892723093601,-30.5604212000264
172,-71.0804412119831,-30.6194089876412
173,-71.0715680085768,-30.6784140577451
174,-71.0626600716954,-30.737283703934
175,-71.0537248390164,-30.7958652828956
176,-71.0447698141245,-30.854006210305
177,-71.0358025670985,-30.9115539558851
178,-71.0268307349008,-30.9683560375653
179,-71.0178620215401,-31.0242600147828
180,-71.0089041980608,-31.0791134806398
181,-70.9999651022808,-31.1327640531682
182,-70.9910526383369,-31.1850593654022
183,-70.9821747759975,-31.2358470543528
184,-70.9733395497529,-31.2849747487936
185,-70.9645611055259,-31.3322773333561
186,-70.9558778887038,-31.3775387092337
187,-70.9473345758707,-31.4205298526751
188,-70.9389760281593,-31.4610215223124
189,-70.9308472778471,-31.498784260993
190,-70.9229935121,-31.5335883995515
191,-70.9154600538102,-31.5652040626588
192,-70.9082923395425,-31.5934011766775
193,-70.9015358945594,-31.617949479663
194,-70.8952363049372,-31.6386185335673
