"day","lon","lat"
1,-70.1340482134204,-45.1754255504826
2,NA,NA
3,-70.168140268151,-45.1140846815149
4,NA,NA
5,NA,NA
6,NA,NA
7,-70.2449772862208,-44.9492071546707
8,NA,NA
9,NA,NA
10,-70.3077120439646,-44.7951552403245
11,-70.3291853189117,-44.7391161576088
12,-70.3508130255505,-44.6810759546617
13,-70.3725202134244,-44.6212402316265
14,-70.3942325520346,-44.5598144591463
15,NA,NA
16,-70.4373785025526,-44.4330141798269
17,NA,NA
18,-70.4796688057914,-44.3023174028314
19,-70.5003139061383,-44.236020946122
20,-70.5205371416094,-44.1693513697351
21,-70.5403175536336,-44.1023900378699
22,-70.5596536965306,-44.0351694507867
23,NA,NA
24,-70.5969877231074,-43.9000800434703
25,-70.614982859312,-43.8322762314579
26,NA,NA
27,-70.6496224328161,-43.6963136844862
28,-70.666264057245,-43.6282205939184
29,NA,NA
30,NA,NA
31,-70.7134591180922,-43.4238903522841
32,-70.7282760104217,-43.3558740721908
33,-70.7426330340955,-43.287960403124
34,-70.7565286783338,-43.2201829667041
35,-70.7699614121634,-43.1525755180947
36,-70.7829296833095,-43.0851719481779
37,-70.7954319170816,-43.0180062855143
38,-70.8074668361489,-42.951110992782
39,NA,NA
40,NA,NA
41,-70.8408171814245,-42.7520389466612
42,-70.851039567665,-42.6861764606321
43,-70.8608265047738,-42.6205395825894
44,NA,NA
45,-70.8791217758197,-42.4898901833855
46,-70.8876438282526,-42.4248513938045
47,-70.8957578723978,-42.359985674136
48,NA,NA
49,NA,NA
50,-70.9177188256067,-42.1662951338191
51,NA,NA
52,-70.9304410890823,-42.037791525804
53,-70.9362462289239,-41.9736870239051
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,-70.9730741535426,-41.3980250932832
63,-70.9756057155317,-41.3337174563956
64,NA,NA
65,NA,NA
66,-70.9815561183005,-41.1395867277474
67,-70.9830204644583,-41.0743700524591
68,-70.9842396574097,-41.0088479610408
69,-70.9852222974289,-40.9429889551098
70,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
