"day","lon","lat"
1,-69.1592532630623,-35.8409448415944
2,-69.1551625761191,-35.7528910945222
3,-69.1516107439145,-35.6640802550204
4,-69.1485967446997,-35.5746320798596
5,-69.1461194514233,-35.4846669990117
6,-69.1441776341118,-35.3943060867321
7,-69.1427699622792,-35.303671029402
8,-69.1418950073641,-35.2128840901719
9,-69.1415512451905,-35.1220680704496
10,-69.1417370584501,-35.0313462682885
11,-69.1424507392028,-34.9408424337328
12,-69.1436904913932,-34.8506807211876
13,-69.1454544333803,-34.7609856388827
14,-69.1477406004783,-34.6718819955107
15,-69.1505469475047,-34.5834948441206
16,-69.153871351335,-34.4959494233568
17,NA,NA
18,-69.1620654625481,-34.3238852858656
19,-69.1669305569953,-34.2396174102926
20,-69.1723042485334,-34.1566676162397
21,-69.1781820620003,-34.0749494846868
22,-69.1845586837116,-33.9942922744242
23,-69.1914287555249,-33.9145239661319
24,-69.1987868823866,-33.8354717536072
25,-69.206627636076,-33.7569621325629
26,-69.2149455588853,-33.6788209803932
27,-69.2237351672327,-33.6008736269277
28,-69.2329909552067,-33.5229449162075
29,-69.2427073980427,-33.4448592593349
30,-69.2528789555265,-33.366440678462
31,-69.2635000753271,-33.2875128419997
32,NA,NA
33,-69.2860687514555,-33.1274224577691
34,-69.2980051715038,-33.0459056739704
35,NA,NA
36,-69.3231543338043,-32.8790410826717
37,-69.3363559513564,-32.7933372092275
38,-69.3499681025849,-32.7058825955937
39,-69.3639838567696,-32.6165235625595
40,-69.3783953072578,-32.5251242470912
41,-69.3931945607669,-32.4315488353636
42,NA,NA
43,-69.4239251188875,-32.2373241233222
44,-69.4398408609056,-32.1364007109321
45,-69.4561132863419,-32.0327528750187
46,-69.4727347426413,-31.9262420082154
47,NA,NA
48,NA,NA
49,-69.524617626904,-31.5881338405683
50,-69.5425598382093,-31.4687692238245
51,NA,NA
52,-69.5793719449466,-31.2191909362112
53,-69.5982273440845,-31.0886880413205
54,-69.6173727590974,-30.9541811224999
55,NA,NA
56,-69.6565054053106,-30.6725658063379
57,-69.6764779134263,-30.5252903343381
58,-69.6967100317178,-30.3738383561084
59,-69.717193177184,-30.2183631708582
60,-69.7379188629143,-30.059018131572
61,-69.7588786991968,-29.8959567402289
62,NA,NA
63,NA,NA
64,-69.8230806923131,-29.386013527094
65,-69.8448952101273,-29.2096276984939
66,-69.8669034188693,-29.0302981449508
67,NA,NA
68,-69.9114698533326,-28.6634326483664
69,-69.9340128062573,-28.4762107374209
70,NA,NA
71,NA,NA
72,-70.0025911208842,-27.9012876757893
73,NA,NA
74,NA,NA
75,-70.0724415288514,-27.3098229332585
76,-70.0959733972449,-27.1096709698528
77,NA,NA
78,-70.1433627040165,-26.7055364870405
79,-70.1672046594044,-26.5017680315656
80,NA,NA
81,NA,NA
82,-70.2392290891749,-25.884951323488
83,NA,NA
84,NA,NA
85,NA,NA
86,NA,NA
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,-70.5069791972988,-23.5947087531167
94,-70.5314035995929,-23.387583328505
95,-70.5558137326988,-23.1810908569655
96,NA,NA
97,-70.6045655221883,-22.7703845429584
98,NA,NA
99,NA,NA
100,NA,NA
101,NA,NA
102,NA,NA
103,NA,NA
104,NA,NA
105,NA,NA
106,NA,NA
107,NA,NA
108,NA,NA
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,NA
113,-70.9858032968697,-19.6806099746665
114,NA,NA
115,NA,NA
116,NA,NA
117,NA,NA
118,-71.099504861616,-18.8202604295269
119,NA,NA
120,-71.1439889918673,-18.4929363731441
121,NA,NA
122,-71.1878470739291,-18.1756136391486
123,-71.2095297579334,-18.0207829346615
124,NA,NA
125,NA,NA
126,NA,NA
127,NA,NA
128,NA,NA
129,NA,NA
130,NA,NA
131,NA,NA
132,NA,NA
133,NA,NA
134,NA,NA
135,NA,NA
136,NA,NA
137,NA,NA
138,NA,NA
139,NA,NA
140,NA,NA
141,NA,NA
142,NA,NA
143,NA,NA
144,NA,NA
145,NA,NA
146,NA,NA
147,NA,NA
148,NA,NA
149,-71.7015751340603,-14.9238200743541
150,NA,NA
151,NA,NA
152,NA,NA
153,NA,NA
154,NA,NA
155,NA,NA
156,-71.8057002159856,-14.3746278741607
157,-71.819452436119,-14.3047677360982
158,NA,NA
159,NA,NA
160,NA,NA
161,NA,NA
162,NA,NA
163,-71.8957922900133,-13.9273714093856
164,-71.9074585602045,-13.8711167923106
165,NA,NA
166,NA,NA
167,-71.9405853490338,-13.71322127933
168,NA,NA
169,-71.9610901497702,-13.6173417345467
170,-71.9708634412027,-13.5723676536558
171,-71.980314892809,-13.5294390198129
172,-71.9894426039594,-13.4886075248428
173,NA,NA
174,-72.006718899312,-13.4134445668219
175,-72.014863378179,-13.3792183515957
176,NA,NA
177,NA,NA
178,-72.0372962136828,-13.2906003188924
179,NA,NA
180,-72.0505614179244,-13.2437796351033
181,NA,NA
182,-72.0624520975685,-13.2072776340513
183,-72.0678756407703,-13.1930354047932
184,-72.0729481232108,-13.1815530925046
185,-72.0776684278334,-13.1729491013517
186,-72.0820356936855,-13.1673547451223
187,NA,NA
188,-72.0897073466127,-13.1657233469278
189,-72.0930096943211,-13.1699520789815
190,NA,NA
191,-72.09854186334,-13.1891674898456
192,NA,NA
193,-72.1026358466305,-13.223626004878
194,NA,NA
195,-72.1052810012076,-13.2744147716772
196,NA,NA
197,NA,NA
198,-72.1065064951695,-13.3836166561997
199,NA,NA
200,NA,NA
201,NA,NA
202,NA,NA
203,-72.1011283991638,-13.6628263702754
204,NA,NA
205,NA,NA
206,NA,NA
207,-72.0900740923884,-13.9813478531385
208,NA,NA
209,NA,NA
210,NA,NA
211,NA,NA
212,-72.0677994060547,-14.5051683908816
213,NA,NA
214,-72.0562525466711,-14.7553047197357
215,NA,NA
216,-72.0431944959983,-15.0293324219123
217,NA,NA
218,NA,NA
219,NA,NA
220,-72.0125295787999,-15.6508054594001
221,-72.0039136723553,-15.8216709906427
222,NA,NA
223,-71.9855476566506,-16.181521013162
224,NA,NA
225,NA,NA
226,NA,NA
227,NA,NA
228,NA,NA
229,NA,NA
230,NA,NA
231,-71.8971472589075,-17.8450070920721
232,-71.8844376456123,-18.07611463543
233,-71.8713634489336,-18.3119457908765
234,NA,NA
235,NA,NA
236,-71.8299662139167,-19.0464594526612
237,NA,NA
238,NA,NA
239,-71.7853353264771,-19.8186306640959
240,-71.7697486942972,-20.0835988970143
241,NA,NA
242,-71.7375287438305,-20.6235333180406
243,-71.7209016926147,-20.8980311906119
244,NA,NA
245,NA,NA
246,NA,NA
247,NA,NA
248,NA,NA
249,NA,NA
250,-71.59516481919,-22.8822392566067
251,NA,NA
252,NA,NA
253,NA,NA
254,-71.5162746460037,-24.0448895966498
255,-71.495788587407,-24.3365291830682
256,-71.475004877875,-24.6281081454579
257,NA,NA
258,NA,NA
259,-71.4109147221125,-25.5005832753395
260,-71.3889893977146,-25.7901136654122
261,NA,NA
262,-71.3443289140625,-26.3662817903102
263,-71.3216051147024,-26.6526074921475
264,-71.2986266822854,-26.9375554083167
265,-71.2753995479209,-27.2209733187958
266,NA,NA
267,-71.2282234203439,-27.7826183319046
268,-71.2042868177075,-28.0605492059002
269,-71.180126297995,-28.3363576858232
270,-71.155748331843,-28.6098999693215
271,NA,NA
272,-71.1063665107179,-29.1496195877033
273,-71.0813761697973,-29.4155182056036
274,NA,NA
275,-71.0308313776102,-29.9387120556066
276,-71.0052916492794,-30.1957533764328
277,-70.9795840182436,-30.449599783424
278,-70.9537163941228,-30.70013550838
279,-70.9276968073432,-30.9472463722733
280,-70.9015334099015,-31.1908197539759
281,NA,NA
282,-70.8488084026012,-31.6669111545341
283,-70.8222637098858,-31.8992113711149
284,NA,NA
285,-70.7688531650643,-32.351786784115
286,-70.7420049717171,-32.5718523083446
287,-70.7150734766436,-32.7876319802784
288,-70.688067818652,-32.9990239389176
289,-70.6609972599513,-33.2059273861764
290,NA,NA
291,-70.6066991036704,-33.6058704015884
292,-70.579490643159,-33.7987129730257
293,-70.5522555270436,-33.9866813620317
294,-70.5250033912575,-34.1697498891385
295,-70.4977438870547,-34.3479207013431
296,NA,NA
297,NA,NA
298,-70.4160192104233,-34.8530619808865
299,NA,NA
300,-70.3616807540696,-35.1653523059554
301,-70.3345853747305,-35.3141548165268
302,-70.3075529814052,-35.4580600813535
303,-70.2805940027582,-35.5970656516791
304,-70.2537189555349,-35.7311683791229
305,-70.2269384420746,-35.8603643936594
306,-70.2002631476755,-35.9846490823245
307,-70.1737038378556,-36.1040170681967
308,-70.147271355439,-36.2184621901667
309,-70.1209766175087,-36.3279774832284
310,-70.0948306122399,-36.432555159072
311,-70.068844352429,-36.5321884987646
312,-70.0430282658613,-36.6268984839529
313,-70.0173923274209,-36.7167270653703
314,-69.9919465354451,-36.8017156812583
315,-69.9667009211826,-36.8819047151363
316,-69.9416655454149,-36.957333521207
317,-69.9168504950166,-37.0280404502974
318,-69.8922658794127,-37.0940628762823
319,-69.8679218269929,-37.1554372228827
320,-69.8438284813931,-37.212198991151
321,-69.8199959977517,-37.2643827870928
322,-69.7964345388573,-37.3120223499082
323,-69.7731542712453,-37.3551505804166
324,-69.7501653612119,-37.3937995699625
325,-69.7274779707624,-37.4280006296445
326,-69.7051022534921,-37.4577843198499
327,-69.6830483504284,-37.4831804799825
328,-69.6613263857663,-37.5042182587598
329,-69.6399464412391,-37.5209265871235
330,-69.6189177413931,-37.5333509722752
331,-69.5982483900026,-37.5415587010899
332,-69.5779463664648,-37.5456180507351
333,-69.5580195944974,-37.5455968513294
334,NA,NA
335,NA,NA
336,-69.5005691248028,-37.5217227029196
337,-69.4822213741936,-37.506050574749
338,-69.4642875502413,-37.4866322387451
339,-69.4467751778502,-37.4635339691537
340,-69.4296917048125,-37.4368219609169
341,-69.4130444988863,-37.4065623783128
342,-69.3968408448075,-37.3728214031119
343,-69.3810879414173,-37.3356652811954
344,-69.3657928987865,-37.2951603682397
345,-69.3509627353441,-37.2513731744923
346,NA,NA
347,-69.3227246415343,-37.154219079958
348,-69.3093295249888,-37.1010000243455
349,-69.2964232741096,-37.0448246997476
350,NA,NA
351,-69.2720929167017,-36.9240703317808
352,NA,NA
353,NA,NA
354,-69.2393580591867,-36.7236909174711
355,-69.2294632370793,-36.6522398124958
356,-69.2200822896157,-36.578659833872
357,-69.2112183288159,-36.5030722871533
358,-69.2028743505944,-36.425599335646
359,-69.1950532346657,-36.346364016785
360,-69.1877577444373,-36.2654902547291
361,-69.1809905270322,-36.1831028681586
362,-69.1747541133374,-36.0993275740271
363,NA,NA
364,-69.1638832403212,-35.928120612793
365,-69.1592532630603,-35.8409448416039
