"day","lon","lat"
1,-75.661513457573,-0.436495461651063
2,-75.6697510502956,-0.519105385081
3,-75.6763969888405,-0.600491709953655
4,-75.6814677351138,-0.680585341170308
5,-75.6849796231326,-0.759317214926376
6,-75.6869488624507,-0.836618292859173
7,-75.6873915415578,-0.912419556151578
8,-75.6863236312573,-0.986651999584386
9,-75.6837609880187,-1.05924662553295
10,-75.6797193573058,-1.13013443790429
11,-75.6742143768786,-1.19924643601056
12,-75.6672615800677,-1.26651360837723
13,-75.6588763990212,-1.3318669264859
14,-75.6490741679223,-1.39523733845063
15,-75.6378701261776,-1.45655576263124
16,-75.6252794215744,-1.51575308118498
17,-75.6113171134068,-1.57276013356264
18,-75.5959981755705,-1.62750770995395
19,-75.5793374996243,-1.67992654469034
20,-75.5613685298355,-1.72992500426742
21,NA,NA
22,NA,NA
23,-75.5015686153745,-1.86253710695925
24,-75.4804464675353,-1.8998447293547
25,-75.4591174605734,-1.93315308329315
26,-75.4378139687673,-1.96213161098084
27,-75.4167682714027,-1.98644982609391
28,-75.3962125561869,-2.00577733205839
29,-75.3763789179192,-2.0197838444481
30,-75.3574993524736,-2.0281392178062
31,NA,NA
32,-75.3235298603942,-2.02657685591374
33,-75.3089033120593,-2.01599983744181
34,-75.2961575490093,-1.99845320687483
35,-75.2855238213064,-1.97360810845248
36,-75.2772331478505,-1.94113611301401
37,-75.2715162785018,-1.90070929586423
38,-75.268604312041,-1.85199926035094
39,-75.2687378672529,-1.79466223011215
40,-75.2721647766499,-1.72834232156097
41,-75.2791327112161,-1.65268323786147
42,NA,NA
43,-75.3046809356447,-1.47192092874423
44,-75.3237553899499,-1.36610322467071
45,-75.3473593721874,-1.24951710070009
46,-75.375739896806,-1.12180352028936
47,-75.4091441399756,-0.982602516070217
48,-75.4478195579613,-0.831553103458171
49,-75.4920140135497,-0.668293221465658
50,-75.5419759100519,-0.492459706216452
51,-75.5979543323684,-0.303688303091609
52,-75.6601991945604,-0.101613723903942
53,-75.7289613933222,0.114130244016267
54,-75.804492966705,0.343910569450105
55,-75.8870472573847,0.588094741729754
56,-75.9768752757395,0.847046814554665
57,-76.0740820070528,1.12098957006454
58,-76.1785834979729,1.40996497551162
59,-76.290287039089,1.71400768150745
60,-76.409104425157,2.03315761802269
61,-76.534952350918,2.36746020481841
62,-76.6677527982771,2.716966523187
63,NA,NA
64,-76.9539278971063,3.46182374121267
65,-77.107176345469,3.85730609933468
66,-77.2671256507343,4.26825516382102
67,-77.4337298563787,4.69475148213311
68,-77.6069505333308,5.1368814236437
69,-77.7867571579382,5.59473704588929
70,-77.9731274971,6.06841590872875
71,-78.1660480030194,6.55802083335822
72,-78.3655142201702,7.06365960280335
73,-78.5715312072153,7.58544460018238
74,-78.7841131995204,8.12349092075143
75,-79.0031193553339,8.67760717672606
76,-79.2280459494257,9.2469093525309
77,-79.4583401116927,9.83041472857328
78,-79.6934486648938,10.4271357489379
79,-79.9328174371532,11.0360809365912
80,-80.1758905905994,11.6562560806024
81,-80.4221099618336,12.2866656723146
82,-80.6709144096665,12.9263145637744
83,-80.9217391653293,13.5742098185616
84,-81.1740151800889,14.2293627223218
85,-81.4271684649208,14.8907909179796
86,-81.6806194166032,15.5575206288977
87,-81.9337821242814,16.2285889320797
88,-82.1860636502196,16.90304604299
89,-82.4368632781081,17.5799575737156
90,-82.6855717219173,18.25840672693
91,-82.9315702878867,18.9374963894673
92,-83.1742299818174,19.6163510912192
93,-83.4129333443989,20.2941623548789
94,-83.6471397489264,20.970311010313
95,-83.8763125578425,21.6442204474842
96,-84.0998951475557,22.3153117532509
97,-84.3173102728729,22.9830048324469
98,-84.5279594485624,23.6467194590155
99,-84.7312223503677,24.3058762391134
100,-84.9264562383225,24.9598974683411
101,-85.1129954058732,25.6082078658091
102,-85.2901506590418,26.2502351683366
103,-85.4572088307543,26.885410568939
104,-85.61343233644,27.5131689845819
105,-85.7580587782137,28.1329491392846
106,-85.8903006062868,28.7441934496679
107,-86.0093448478464,29.3463477012697
108,-86.1143529154119,29.9388605050194
109,-86.2044605087673,30.5211825245958
110,-86.2787776268904,31.0927654665505
111,-86.3365316885663,31.6530731286619
112,-86.3779908268925,32.2016544025027
113,-86.4039054344534,32.7380820090754
114,-86.4150445571345,33.2619103206113
115,-86.4121961302365,33.7726762418281
116,-86.3961693367672,34.2699003353729
117,-86.3677968386649,34.7530879801033
118,-86.32793685191,35.22173054915
119,-86.2774750349666,35.6753065940836
120,-86.2173261588481,36.1132830215677
121,-86.1484355260701,36.5351162485339
122,-86.0717801051493,36.9402533219422
123,-85.9883693470931,37.3281329892712
124,-85.8992456506557,37.6981867062888
125,-85.8054844439557,38.0498395690065
126,-85.7081938516149,38.3825111577306
127,-85.6085139187411,38.6956162821766
128,-85.5076153659864,38.9885656181096
129,-85.4066627634934,39.2608145363019
130,-85.3063183193661,39.5125379428629
131,-85.2068463749197,39.7444637977
132,-85.1085012607958,39.9573309801849
133,-85.0115370523624,40.1518751488937
134,-84.9162070112928,40.328829010575
135,-84.8227630487581,40.48892266301
136,-84.7314552134081,40.6328839930584
137,-84.6425312069815,40.7614391127365
138,-84.5562359301415,40.8753128179656
139,-84.472811060785,40.9752290559819
140,-84.3924946667448,41.061911388777
141,-84.3155208544881,41.1360834412316
142,-84.2421194550196,41.1984693235806
143,-84.1725157479599,41.2497940192242
144,-84.1069302243269,41.290783729519
145,-84.0455783882997,41.3221661683458
146,-83.9886705979335,41.3446708000568
147,-83.9364064755225,41.3590290074481
148,-83.8887674343298,41.3659738382821
149,-83.8454520233606,41.3662395162889
150,-83.8061338569415,41.3605613485269
151,-83.7704810586231,41.3496754367527
152,-83.7381571888065,41.3343184016392
153,-83.7088220852332,41.315227139299
154,-83.6821326128741,41.2931386081761
155,-83.6577433206408,41.2687896451472
156,-83.63530700302,41.2429168100375
157,-83.6144751653476,41.2162562581655
158,-83.5948983919431,41.1895436408089
159,-83.5762266167657,41.1635140338717
160,-83.5581092964562,41.1389018948604
161,-83.5401954859214,41.1164410486946
162,-83.5221338165932,41.0968647025095
163,-83.5035723775401,41.0809054897343
164,-83.4841584994284,41.0692955433645
165,-83.4635390713468,41.0627649189207
166,-83.4414932533408,41.0616874523985
167,-83.4180976416042,41.0656428487502
168,-83.3934692748637,41.0741036205526
169,-83.3677255422192,41.0865424974851
170,-83.3409843713866,41.1024323660785
171,-83.3133643963584,41.121246218959
172,-83.2849851045048,41.1424571139545
173,-83.2559669630196,41.1655381432106
174,-83.2264315244775,41.1899624121952
175,-83.1965015112458,41.2152030285052
176,-83.1663008783994,41.2407331002082
177,-83.1359548547521,41.2660257434196
178,-83.1055899615005,41.2905540985002
179,-83.0753340082083,41.3137913550337
180,-83.0453160654626,41.3352107844937
181,-83.0156664139593,41.3542857808245
182,-82.9865164695235,41.3704899083451
183,-82.9579986837632,41.3832969568814
184,-82.930229153263,41.3923142707538
185,-82.9032551636016,41.3976825472768
186,-82.8771060221924,41.3996759272693
187,-82.8518102114247,41.3985686643322
188,-82.8273954146821,41.3946350768739
189,-82.8038885458841,41.3881495050434
190,-82.7813157822773,41.3793862721689
191,-82.759702600395,41.3686196508189
192,-82.7390738149626,41.3561238332492
193,-82.7194536206263,41.3421729062659
194,-82.7008656363385,41.3270408304243
195,-82.6833329522942,41.3110014236348
196,-82.6668781792556,41.2943283490671
197,-82.6515235001783,41.2772951074485
198,-82.637290724036,41.260175033775
199,-82.624201341771,41.2432412984987
200,-82.6122765842524,41.2267669130803
201,-82.601537482263,41.2110247401679
202,-82.591997124336,41.1962640562288
203,-82.5836109087398,41.1825607115753
204,-82.5763085611505,41.1699128255081
205,-82.5700198937508,41.1583181250163
206,-82.5646749142401,41.1477743210443
207,-82.5602038125135,41.1382791180745
208,-82.5565369469238,41.129830223011
209,-82.5536048302095,41.122425353727
210,-82.5513381150452,41.1160622470805
211,-82.5496675792314,41.1107386664987
212,-82.5485241105211,41.1064524091437
213,-82.5478386910511,41.1032013125306
214,-82.5475423814264,41.1009832608341
215,-82.5475663043892,41.0997961906661
216,-82.5478416281123,41.099638096445
217,-82.5482995491114,41.1005070354131
218,-82.5488712747011,41.102401132102
219,-82.549488005078,41.1053185824665
220,-82.5500857353669,41.1092493744463
221,-82.5506725591624,41.1140596082527
222,-82.5513121100721,41.119519925604
223,-82.5520694929918,41.1253984013961
224,-82.5530098620855,41.1314629682114
225,-82.5541984198606,41.1374813952547
226,-82.5557004091493,41.1432212752524
227,-82.5575810980811,41.1484500197655
228,-82.5599057580121,41.1529348627463
229,-82.5627396342877,41.1564428720872
230,-82.5661479100417,41.1587409697949
231,-82.5701956628178,41.1595959601013
232,-82.5749478141896,41.1587745660454
233,-82.5804690723812,41.1560434743891
234,-82.5868238679604,41.1511693889909
235,-82.5940762826086,41.1439190924037
236,-82.6022899712594,41.1340595162971
237,-82.6115280775894,41.1213578203171
238,-82.6218510942049,41.1055813224428
239,-82.6332391951154,41.0864916390641
240,-82.6455685117374,41.0638429437473
241,-82.6587077964567,41.0373894603602
242,-82.6725254060913,41.0068860839706
243,-82.6868893799709,40.9720884733805
244,-82.70166752962,40.9327531463312
245,-82.716727539907,40.8886375776973
246,-82.7319370812804,40.8395003005448
247,-82.7471639329502,40.785101010738
248,-82.7622761166085,40.7252006753751
249,-82.7771420402977,40.6595616453715
250,-82.7916306520015,40.5879477728886
251,-82.8056116024363,40.5101245340019
252,-82.8189554163448,40.4258591569141
253,-82.8315336718642,40.3349207568874
254,-82.8432191870524,40.2370804779998
255,-82.8538862130516,40.1321116431044
256,-82.8634104257974,40.0197889610796
257,-82.871625571083,39.8996879200674
258,-82.8782704400028,39.7709352329677
259,-82.8830744101083,39.6325962602838
260,-82.8857711730869,39.4837353312901
261,-82.886099203564,39.3234151777537
262,-82.883802236148,39.1506962664837
263,-82.87862974827,38.9646360452841
264,-82.8703374461583,38.764288118086
265,-82.8586877510353,38.5487013662474
266,-82.843450282837,38.3169190358157
267,-82.8244023386526,38.0679778125674
