"day","lon","lat"
1,-59.0596062700236,-30.904415069099
2,-59.0782292598859,-30.9180648593689
3,-59.0975093855033,-30.9311916488396
4,-59.1174386788634,-30.9437413415182
5,-59.1380091043292,-30.9556599167525
6,-59.15921256,-30.9668934319397
7,-59.1810408790901,-30.9773880245984
8,-59.2034858313247,-30.9870899138055
9,-59.2265391243496,-30.9959454010005
10,-59.2501924051577,-31.0039008701595
11,-59.2744372615301,-31.0109027873407
12,-59.2992652234909,-31.0168976996077
13,-59.3246677647776,-31.0218322333317
14,-59.3506363043237,-31.0256530918791
15,-59.377162207756,-31.0283070526892
16,-59.4042367889036,-31.0297409637468
17,-59.4318513113202,-31.0299017394569
18,-59.4599969898176,-31.0287363559274
19,-59.4886649920115,-31.0261918456666
20,-59.517846242816,-31.022216462808
21,-59.5475299108291,-31.0167686970189
22,-59.5777042503354,-31.0098123181842
23,-59.6083574816157,-31.0013111641317
24,-59.6394778007173,-30.9912290907414
25,-59.6710533819002,-30.9795299651294
26,NA,NA
27,-59.7355229331632,-30.9511360389127
28,-59.7683931645844,-30.9343689632509
29,-59.801671185527,-30.9158402695964
30,NA,NA
31,-59.8694029938699,-30.8733532361138
32,-59.9038329637185,-30.8493224022292
33,-59.9386230925644,-30.8233849444686
34,-59.9737614653941,-30.7955044774324
35,-60.0092361687335,-30.7656445435321
36,-60.0450352928492,-30.7337686032758
37,-60.0811469339227,-30.6998400253363
38,-60.1175591593037,-30.6638221442995
39,-60.1542592001117,-30.6256797430472
40,-60.1912334625225,-30.5853790382126
41,-60.2284683457114,-30.5428861735821
42,-60.2659502812647,-30.498167140514
43,-60.3036657355605,-30.4511877660979
44,-60.3416012120879,-30.4019137011381
45,-60.3797432537059,-30.3503104079702
46,-60.4180784448399,-30.2963431481205
47,-60.4565934136165,-30.2399769698134
48,-60.4952748339361,-30.1811766953412
49,-60.5341094274823,-30.119906908301
50,-60.5730839656692,-30.0561319407114
51,-60.6121852715249,-29.989815860019
52,-60.6514002215121,-29.9209224560039
53,-60.6907157472849,-29.8494152275971
54,-60.7301188373827,-29.7752573696219
55,-60.76959653886,-29.6984117594686
56,-60.8091359573207,-29.6188409188328
57,-60.8487240754574,-29.5365040095752
58,-60.8883475859295,-29.4513539532369
59,NA,NA
60,-60.9676477681637,-29.2724212333695
61,-61.0072981259699,-29.178540845223
62,-61.0469312506304,-29.081651821986
63,-61.0865341843953,-28.9817040722584
64,-61.1260940511077,-28.8786469777297
