"day","lon","lat"
1,NA,NA
2,-64.2221914920794,-36.2223203935094
3,-64.2274316145905,-36.1651215453325
4,-64.2328588266835,-36.1038818204717
5,-64.2384702286849,-36.0387308940533
6,-64.2442628963821,-35.9697986127176
7,-64.2502338824785,-35.8972150781018
8,-64.2563802180417,-35.8211107259037
9,-64.2626989139427,-35.7416164004525
10,-64.2691869622858,-35.6588634247187
11,-64.2758413378268,-35.5729836656958
12,-64.2826589993794,-35.484109595087
13,NA,NA
14,NA,NA
15,-64.3040610782712,-35.2008564421672
16,NA,NA
17,NA,NA
18,NA,NA
19,-64.3346964679965,-34.7894285847983
20,-64.342709474771,-34.6814577749152
21,NA,NA
22,NA,NA
23,-64.3675452082736,-34.3470483217236
24,NA,NA
25,-64.3847273971022,-34.1157095545303
26,-64.3934942472102,-33.9976071928336
27,-64.4023730718758,-33.8779217593677
28,-64.4113599921181,-33.7566826233718
29,NA,NA
30,-64.4296426845783,-33.5096614341519
31,-64.4389307838394,-33.383938822503
32,-64.4483116352144,-33.2567813842552
33,NA,NA
34,-64.4673364697999,-32.998282355625
35,-64.4769729467935,-32.8670012373067
36,-64.486687165554,-32.7344062281271
37,-64.4964754336255,-32.6005278532233
38,-64.506334084534,-32.4653967453266
39,-64.5162594349538,-32.3290335792004
40,-64.5262475079942,-32.1913845790937
41,-64.5362942170041,-32.0523620580702
42,-64.546395511647,-31.911877471957
43,-64.5565473793915,-31.7698415720011
44,-64.5667458462592,-31.6261643987474
45,-64.5769869775144,-31.480755274108
46,-64.5872668782993,-31.3335227916606
47,-64.5975816942133,-31.184374805213
48,-64.6079276118393,-31.0332184156804
49,-64.6183008592165,-30.8799599563202
50,NA,NA
51,-64.6391144651461,-30.5667582231808
52,NA,NA
53,-64.6599931802241,-30.2440042592191
54,-64.6704479746612,-30.0788023522453
55,-64.6809083578271,-29.910919234066
56,-64.691370857024,-29.7402553246511
57,NA,NA
58,-64.7122883830118,-29.3902008089509
59,-64.7227363899067,-29.2106438864763
60,-64.7331725819396,-29.0279602145539
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,-64.8158357357215,-27.4439607765781
69,NA,NA
70,NA,NA
71,NA,NA
72,-64.8562856681652,-26.5612618980577
73,NA,NA
74,-64.8762059242894,-26.0946954497686
75,-64.8860799160498,-25.8547838426826
76,-64.8958928768537,-25.6104706779455
77,NA,NA
78,NA,NA
79,NA,NA
80,-64.934483367716,-24.5922711014447
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
85,NA,NA
86,NA,NA
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,-65.03409822143,-21.5249934628355
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,NA,NA
97,NA,NA
98,NA,NA
99,NA,NA
100,NA,NA
101,-65.1145070339414,-18.5477118477021
102,NA,NA
103,NA,NA
104,-65.1364741658415,-17.6501577015277
105,-65.1435617370616,-17.3525210108732
106,NA,NA
107,NA,NA
108,NA,NA
109,NA,NA
110,NA,NA
111,NA,NA
112,NA,NA
113,NA,NA
114,NA,NA
115,NA,NA
116,NA,NA
117,NA,NA
118,NA,NA
119,NA,NA
120,NA,NA
121,NA,NA
122,NA,NA
123,NA,NA
124,NA,NA
125,NA,NA
126,-65.2629980139475,-11.5764105817528
127,NA,NA
128,NA,NA
129,NA,NA
130,NA,NA
131,NA,NA
132,NA,NA
133,NA,NA
134,NA,NA
135,NA,NA
136,NA,NA
137,NA,NA
138,NA,NA
139,NA,NA
140,NA,NA
141,NA,NA
142,NA,NA
143,NA,NA
144,NA,NA
145,NA,NA
146,NA,NA
147,NA,NA
148,NA,NA
149,NA,NA
150,NA,NA
151,NA,NA
152,NA,NA
153,NA,NA
154,NA,NA
155,NA,NA
156,NA,NA
157,NA,NA
158,NA,NA
159,NA,NA
160,NA,NA
161,NA,NA
162,NA,NA
163,NA,NA
164,NA,NA
165,NA,NA
166,NA,NA
167,-65.3184734688343,-4.77190113145
168,NA,NA
169,-65.3150067018859,-4.69614016310776
170,-65.313062165951,-4.66924603694958
171,NA,NA
172,NA,NA
173,NA,NA
174,NA,NA
175,NA,NA
176,NA,NA
177,NA,NA
178,NA,NA
179,NA,NA
180,NA,NA
181,NA,NA
182,-65.2789591986458,-4.90775977256924
183,NA,NA
184,NA,NA
185,NA,NA
186,NA,NA
187,NA,NA
188,NA,NA
189,-65.2500975036024,-5.51275132703902
190,NA,NA
191,-65.2406813766405,-5.74468876928229
192,-65.2357829464017,-5.87001410429919
193,NA,NA
194,NA,NA
195,NA,NA
196,NA,NA
197,-65.2094220367273,-6.58629371147042
198,-65.2037820128809,-6.74679469062483
199,-65.1980212898068,-6.91281487751183
200,-65.1921406659116,-7.0842556400729
201,NA,NA
202,NA,NA
203,NA,NA
204,NA,NA
205,-65.1609720774041,-8.01972661040563
206,NA,NA
207,-65.1477042540335,-8.42925914174709
208,NA,NA
209,NA,NA
210,NA,NA
211,NA,NA
212,-65.1126275374321,-9.53735133372729
213,NA,NA
214,-65.097862170333,-10.013011013107
215,NA,NA
216,NA,NA
217,NA,NA
218,NA,NA
219,NA,NA
220,NA,NA
221,NA,NA
222,NA,NA
223,NA,NA
224,NA,NA
225,-65.0097442384379,-12.9316554634826
226,NA,NA
227,NA,NA
228,NA,NA
229,-64.97508034074,-14.106270195779
230,NA,NA
231,-64.9572869512215,-14.7131301476664
232,-64.9482817121771,-15.0211070643904
233,NA,NA
234,NA,NA
235,NA,NA
236,NA,NA
237,NA,NA
238,-64.8928578346103,-16.9262426931216
239,NA,NA
240,NA,NA
241,NA,NA
242,NA,NA
243,NA,NA
244,NA,NA
245,NA,NA
246,NA,NA
247,NA,NA
248,-64.7961832724798,-20.2364550509809
249,-64.7862955899712,-20.5685695443293
250,NA,NA
251,NA,NA
252,-64.7564653374117,-21.5584989903541
253,-64.7464753467844,-21.8854585815241
254,NA,NA
255,NA,NA
256,-64.7164052370698,-22.853670046045
257,-64.7063581032389,-23.1713749084231
258,-64.6963038737796,-23.4862173924333
259,-64.6862454534057,-23.7980056826893
260,-64.6761857889892,-24.1065503018003
261,-64.6661278699478,-24.4116641193291
262,-64.6560747286169,-24.7131623497233
263,-64.6460294405849,-25.0108625397198
264,-64.6359951250037,-25.3045845446711
265,NA,NA
266,NA,NA
267,-64.6059898634734,-26.1601138321823
268,-64.5960315094268,-26.4361663869481
269,NA,NA
270,-64.5761998769414,-26.9735664918779
271,-64.5663334135789,-27.2345810817043
272,-64.5565044701645,-27.4902530102655
273,-64.5467165661944,-27.7404200529066
274,-64.5369732567716,-27.9849280496299
275,-64.5272779314489,-28.2237752179978
276,-64.5176338112371,-28.4571100394531
277,-64.50804414759,-28.6850854884913
278,-64.4985122312692,-28.9078524756214
279,-64.4890413920879,-29.1255598977402
280,NA,NA
281,-64.4702964578036,-29.5463818795233
282,NA,NA
283,-64.4518367517202,-29.9487043385144
284,-64.4427225886777,-30.1432806066412
285,-64.4336902817621,-30.3336513779298
286,-64.4247434232047,-30.5199529504405
287,-64.4158856406037,-30.7023200383142
288,-64.40712059624,-30.8808858243973
289,-64.3984519863538,-31.0557820114821
290,-64.3898835403507,-31.2271388726261
291,-64.3814190199707,-31.395085299693
292,-64.373062210515,-31.5597484897414
293,-64.3648166206526,-31.7212403635182
294,NA,NA
295,-64.3486716339443,-32.0350787483527
296,-64.3407785155999,-32.1876055026208
297,-64.3330091984954,-32.3373227011296
298,-64.3253668687538,-32.4843183656467
299,NA,NA
300,-64.3104759993743,-32.7704932309495
301,-64.3032339122196,-32.909844596785
302,-64.2961317151076,-33.0468188031702
303,-64.2891726675329,-33.181500126703
304,-64.2823600400853,-33.3139721576666
305,-64.2756971131543,-33.4443178182592
306,NA,NA
307,-64.2628335233652,-33.6989584764154
308,-64.2566394580686,-33.8234161233174
309,-64.2506082855313,-33.9460727256446
310,-64.2447433098345,-34.0670072380865
311,-64.2390474911024,-34.1862320947994
312,-64.233523200212,-34.3036480246217
313,-64.228172742042,-34.4191456035885
314,NA,NA
315,-64.2180024884528,-34.643951515502
316,-64.2131872442382,-34.7530444663203
317,-64.2085549327083,-34.8597882702157
318,-64.2041077928412,-34.9640768739731
319,-64.1998480467073,-35.065804840334
320,-64.1957778981891,-35.164867321669
321,-64.1918995316938,-35.2611600305693
322,-64.1882151108517,-35.3545792074923
323,NA,NA
324,-64.1814366488521,-35.5323843529697
325,-64.1783468191847,-35.6165651109802
326,NA,NA
327,-64.1727762975547,-35.7749728097173
328,-64.1702996549458,-35.8489967792281
329,-64.1680310833197,-35.9194673098045
330,-64.1659714826976,-35.9863951662186
331,-64.1641216186204,-36.0498012711466
332,-64.1624822190153,-36.109706241161
333,-64.1610539735846,-36.1661303935335
334,-64.1598375331777,-36.2190937540119
335,-64.1588335092183,-36.2686160641592
336,-64.1580424731043,-36.3147167898099
337,NA,NA
338,-64.157101446604,-36.396730021289
339,-64.1569523939714,-36.4326801558917
340,-64.1570182036636,-36.4652839815355
341,-64.1572992389231,-36.4945597157957
342,NA,NA
343,NA,NA
344,-64.1594366810292,-36.5625972846805
345,NA,NA
346,NA,NA
347,-64.1635197813053,-36.6013029719407
348,-64.165312345665,-36.6076867149409
349,-64.167319001817,-36.610740984818
350,-64.1695385457446,-36.6104156892671
351,-64.1719697300336,-36.6066605464667
352,-64.1746112644239,-36.5994250559
353,-64.1774618163899,-36.5886584688012
354,NA,NA
355,-64.1837844351061,-36.556327590922
356,-64.1872536308305,-36.5346602927257
357,-64.1909261033438,-36.5092558223534
358,-64.1948003179752,-36.4800617381548
359,NA,NA
360,-64.2031476432984,-36.4100927769111
361,-64.2076174951603,-36.3692107378258
362,-64.2122825729284,-36.3243246980186
363,-64.2171411567775,-36.2753797487935
364,-64.222191492075,-36.2223203935804
365,NA,NA
