"day","lon","lat"
1,NA,NA
2,-70.409634217861,-34.3003898514196
3,NA,NA
4,NA,NA
5,-70.4244495178488,-34.396059502052
6,-70.4280442794015,-34.4201379255454
7,-70.4308934962889,-34.4402230904824
8,-70.4329531494605,-34.4562624411174
9,NA,NA
10,-70.4345286032981,-34.4759933920945
11,-70.4339573691572,-34.4795798159493
12,-70.4324225621754,-34.4789100871191
13,-70.4298813479886,-34.4739316287721
14,-70.4262912219598,-34.4645918846373
15,-70.4216100413977,-34.4508383293381
16,-70.4157960582413,-34.4326184797671
17,-70.4088079521645,-34.4098799075818
18,NA,NA
19,-70.3911464297971,-34.3506372393103
20,-70.3803928143666,-34.314028690202
21,-70.3683125496186,-34.2727040467008
22,-70.3549239355729,-34.22669543533
23,-70.3402647995134,-34.1760633017977
24,-70.3243733208607,-34.1208682379998
25,NA,NA
26,-70.289047386754,-33.9970320887257
27,NA,NA
28,-70.2492564178161,-33.8556733075882
29,-70.2277842876922,-33.778575242189
30,-70.2053134410042,-33.697279445669
31,-70.1818832651266,-33.6118470519552
32,-70.1575331926367,-33.5223392708627
33,-70.132302672056,-33.4288173881775
34,-70.106231139524,-33.331342765738
35,-70.0793579914237,-33.2299768414601
36,NA,NA
37,NA,NA
38,NA,NA
39,-69.9646364335487,-32.7868332057611
40,-69.9343709591827,-32.6669572107621
41,-69.9036002704627,-32.5436097103342
42,-69.8723990732886,-32.4168818088735
43,-69.8408415612876,-32.2868646560737
44,-69.8090013860757,-32.1536494385084
45,-69.7769516301051,-32.0173273702933
46,-69.7447647820692,-31.8779896828368
47,-69.7125127148345,-31.7357276136877
48,-69.680266665864,-31.5906323945003
49,-69.648097220095,-31.4427952381399
50,-69.6160742952283,-31.2923073249552
51,-69.5842671293853,-31.1392597882582
52,-69.5527442710864,-30.98374369904
53,-69.5215735715014,-30.8258500499762
54,-69.4908221789205,-30.6656697387602
55,NA,NA
56,-69.4308423754855,-30.3388121414716
57,NA,NA
58,-69.3733214015668,-30.003902723204
59,-69.3456266188005,-29.8336729302848
60,NA,NA
61,-69.292631501618,-29.488171398014
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,-69.1764959073004,-28.599731898282
67,NA,NA
68,-69.1376261668086,-28.2365972709528
69,NA,NA
70,-69.1036695048927,-27.870229327042
71,-69.0886512211434,-27.6860810206222
72,NA,NA
73,-69.0627662699665,-27.3163490007572
74,NA,NA
75,NA,NA
76,NA,NA
77,-69.0287247769658,-26.573826336214
78,-69.0239612092487,-26.3880484979993
79,-69.0206599865997,-26.2023588815377
80,NA,NA
81,-69.0183646200553,-25.8315339670261
82,NA,NA
83,NA,NA
84,-69.0253956760219,-25.2777642748471
85,-69.0304558900001,-25.0941197302174
