"day","lon","lat"
1,NA,NA
2,NA,NA
3,NA,NA
4,NA,NA
5,NA,NA
6,NA,NA
7,NA,NA
8,NA,NA
9,NA,NA
10,-79.4732679653977,7.13667385781318
11,-79.5504052848701,7.06230891269746
12,NA,NA
13,NA,NA
14,NA,NA
15,NA,NA
16,NA,NA
17,NA,NA
18,NA,NA
19,-80.2263426538183,6.56821850990317
20,NA,NA
21,NA,NA
22,NA,NA
23,NA,NA
24,NA,NA
25,NA,NA
26,NA,NA
27,NA,NA
28,NA,NA
29,NA,NA
30,NA,NA
31,NA,NA
32,NA,NA
33,NA,NA
34,NA,NA
35,NA,NA
36,NA,NA
37,NA,NA
38,NA,NA
39,NA,NA
40,NA,NA
41,NA,NA
42,NA,NA
43,NA,NA
44,NA,NA
45,-82.8399914876368,6.73389095315346
46,NA,NA
47,NA,NA
48,NA,NA
49,NA,NA
50,NA,NA
51,NA,NA
52,NA,NA
53,NA,NA
54,NA,NA
55,NA,NA
56,NA,NA
57,NA,NA
58,NA,NA
59,NA,NA
60,NA,NA
61,NA,NA
62,NA,NA
63,NA,NA
64,NA,NA
65,NA,NA
66,NA,NA
67,NA,NA
68,NA,NA
69,NA,NA
70,NA,NA
71,NA,NA
72,NA,NA
73,NA,NA
74,NA,NA
75,NA,NA
76,NA,NA
77,-85.778528251857,13.0250226953303
78,-85.8486222299719,13.3596531202509
79,NA,NA
80,NA,NA
81,NA,NA
82,NA,NA
83,NA,NA
84,NA,NA
85,-86.2794752402854,15.9391910606927
86,-86.3308294401808,16.3387662486738
87,NA,NA
88,-86.4244257632526,17.158773522438
89,NA,NA
90,NA,NA
91,-86.5397438321204,18.4373460861521
92,-86.5708662050897,18.8755478438394
93,-86.5980593251462,19.3193712612654
94,-86.6211559455153,19.7685902551813
95,-86.6399852922399,20.2229817545016
96,-86.65437307583,20.6823267111619
97,-86.6641734555435,21.1465141796419
98,-86.669300001255,21.6156433702104
99,-86.6696700902098,22.0898470119089
100,-86.6651972050336,22.5692682926866
101,-86.6557904050302,23.0540609362719
102,-86.6413537671153,23.5443892766371
103,-86.6217857931466,24.0404283300559
104,-86.5969787799775,24.5423638645481
105,-86.5668181480701,25.0503924662588
106,-86.5311817239632,25.564721602077
107,-86.4899389712683,26.0855696774665
108,-86.4429501641901,26.6131660882192
109,-86.3900654967746,27.1477512644253
110,-86.3311241202181,27.6895767046132
111,-86.2659530995507,28.2389049975242
112,-86.1943662798774,28.796009828554
113,-86.1161631874215,29.361175723079
114,-86.0313101046214,29.9343727755965
115,-85.9403100867284,30.5146050793084
116,-85.8437780925197,31.1006850705603
117,-85.7423451200396,31.691411461574
118,-85.6366608757464,32.2855702145198
119,-85.5273963512845,32.8819357509646
120,-85.4152463006867,33.4792723556644
121,-85.3009316077553,34.0763357300632
122,-85.1852015302054,34.6718746476677
123,-85.0688358039352,35.2646326608417
124,-84.9526465874626,35.8533498065562
125,-84.8374802231838,36.4367642573456
126,-84.7242187886709,37.0136138632296
127,-84.6137814077083,37.5826375305616
128,-84.5071252872863,38.1425763848909
129,-84.4052464432445,38.6921746666612
130,-84.309180073859,39.2301803112469
131,-84.2198582551107,39.7554297668185
132,-84.1375806755165,40.2671498273507
133,-84.0624643226793,40.7646658820498
134,-83.9946311212385,41.2472863712787
135,-83.9342064663939,41.714303527095
136,-83.8813176010646,42.1649941136133
137,-83.8360918529996,42.5986201561977
138,-83.7986547300228,43.0144296622986
139,-83.7691278744552,43.4116573380978
140,-83.7476268811649,43.7895253070045
141,-83.7342589874755,44.1472438376633
142,-83.729120647509,44.4840120914617
143,-83.7322950081262,44.7990189013155
144,-83.7438493087732,45.0914435963585
145,-83.7638322326475,45.3604568891139
146,-83.7922712420467,45.605221844681
147,-83.8291699359645,45.8248949538842
148,-83.8744369483324,46.0188284896748
149,-83.9274455983909,46.1878598507947
150,-83.9873139908327,46.3334981445226
151,-84.0531358434088,46.4572619827906
152,-84.123986911167,46.5606758900406
153,-84.19893003755,46.6452700207117
154,-84.2770198377492,46.7125799846702
155,-84.3573069596876,46.7641467284814
156,-84.4388418777851,46.801516430144
157,-84.520678184332,46.8262403737089
158,-84.6018753524805,46.8398747780957
159,-84.6815009534996,46.8439805617641
160,-84.7586323185835,46.8401230308197
161,-84.832357642255,46.8298714835797
162,-84.9017765298931,46.8147987287425
163,-84.9659999962971,46.7964805177121
164,-85.024149925288,46.776494893991
165,-85.0754189282726,46.7563558916495
166,-85.1197596220265,46.7367675561614
167,-85.1576344719707,46.7178857349345
168,-85.1895157739329,46.6998540121613
169,-85.2158757937688,46.6828141999556
170,-85.2371864863268,46.6669065861943
171,-85.253919268597,46.6522701706647
172,-85.2665448457228,46.6390428892835
173,-85.2755330886947,46.6273618262964
174,-85.2813529626515,46.6173634141878
175,-85.2844725050012,46.6091836216062
176,-85.2853588525815,46.6029581290262
177,-85.2844783173759,46.5988224924835
178,-85.2822965104598,46.5969122954671
179,-85.2792785139225,46.597363288973
180,-85.27588910083,46.6003115200061
181,-85.2725930033813,46.6058934485629
182,-85.2698446232785,46.6142398704618
183,-85.2678549670059,46.62533992935
184,-85.2665915381585,46.6390408901432
185,-85.2660115192492,46.6551839751098
186,-85.2660723085586,46.6736104495234
187,-85.2667314575387,46.6941615338828
188,-85.267946612789,46.7166783236808
189,-85.269675462492,46.7410017167068
190,-85.271875687262,46.7669723479372
191,-85.274504915368,46.7944305319723
192,-85.2775206823458,46.8232162131652
193,-85.2808803949622,46.8531689233737
194,-85.2845412995736,46.8841277473596
195,-85.2884604549573,46.9159312961209
196,-85.2925947095484,46.9484176876863
197,-85.2969006832706,46.9814245359416
198,-85.3013347539383,47.0147889471846
199,-85.3058519535111,47.0483465061397
200,-85.3103485562871,47.0818779536635
201,-85.314633567569,47.1150830387053
202,-85.318508232256,47.1476546789504
203,-85.321773106904,47.1792855314635
204,-85.3242281519375,47.2096680402197
205,-85.3256728505333,47.2384944843729
206,-85.3259063543758,47.2654570272163
207,-85.3247276563551,47.290247765685
208,-85.321935790237,47.3125587803491
209,-85.3173300572328,47.3320821859614
210,-85.3107102792031,47.3485101824241
211,-85.3018770782869,47.3615351065314
212,-85.2906321823447,47.370849484456
213,-85.2767787557136,47.376146085436
214,-85.260121754398,47.3771179767985
215,-85.2404683048183,47.3734585810881
216,-85.217628446959,47.3648611274902
217,-85.1914877533388,47.3508904496771
218,-85.16209714863,47.3308245381267
219,-85.1295334187466,47.3039034238131
220,-85.0938776036903,47.2693681799848
221,-85.0552152477393,47.2264609849093
222,-85.0136366167206,47.174425167644
223,-84.9692368795288,47.1125052400529
224,-84.9221162515137,47.0399469206547
225,-84.8723800971034,46.9559971554419
226,-84.8201389894347,46.859904142361
227,-84.7655087249469,46.7509173671343
228,-84.7086102910871,46.6282876588642
229,-84.6495697857306,46.4912672748581
230,-84.588518287316,46.339110026093
231,-84.5255916750294,46.1710714545438
232,-84.4609303991054,45.9864090765391
233,-84.3946792017029,45.7843827333154
234,-84.3269880379011,45.5645085875598
235,-84.2580121226342,45.3271777697576
236,-84.187903895187,45.0729682337063
237,-84.1168110452845,44.8024562627475
238,-84.0448760563951,44.5162161989297
239,-83.9722358241525,44.2148201727624
240,-83.8990213468827,43.8988378280133
241,-83.8253574844357,43.5688360374653
242,-83.7513627812163,43.2253786063493
243,-83.6771493487255,42.869025960837
244,-83.6028228027389,42.5003348199052
245,-83.5284822501661,42.1198578497212
246,-83.4542203203843,41.7281432996931
247,-83.3801232361986,41.325734621185
248,-83.3062709192864,40.9131700688223
249,-83.2327371256059,40.4909822863282
250,-83.1595896060158,40.0596978782468
251,-83.0868598135058,39.6198494466453
252,-83.014410676753,39.1720302579588
253,-82.942050203857,38.7168492523016
254,-82.8695877554134,38.2549079458621
255,-82.796834121763,37.7867999588303
256,-82.7236015061132,37.31311055404
257,-82.6497034589063,36.8344161742381
258,-82.5749547664827,36.3512839834504
259,-82.4991712968563,35.8642714175513
260,-82.4221698052472,35.3739257490421
261,-82.3437677017377,34.8807836715879
262,-82.2637827830149,34.3853709085898
263,-82.18203292998,33.8882018505955
264,-82.0983357726275,33.389779226134
265,-82.0125083232149,32.8905938089395
266,-81.9243665785213,32.3911241665048
267,-81.8337250914838,31.8918364518821
268,-81.7404299241794,31.3931585605621
269,-81.6446145155407,30.8952872938419
270,-81.5465556305283,30.3983108373911
271,-81.4465246258526,29.9023264492903
272,-81.3447867808475,29.4074413004239
273,-81.2416018254321,28.9137723354398
274,-81.1372244278708,28.4214461193113
275,-81.031904645919,27.9305986702552
276,-80.9258883441141,27.4413752782301
277,-80.8194175801548,26.9539303095472
278,-80.7127309626643,26.46842699671
279,-80.6060639827822,25.9850372148642
280,-80.4996493215079,25.5039412442909
281,-80.3937171347434,25.0253275198526
282,-80.2884953176844,24.5493923675259
283,-80.1842097501532,24.0763397290696
284,-80.0810845242524,23.6063808753534
285,-79.9793388374155,23.1397389148383
286,-79.8791410056481,22.676715635127
287,-79.7806205885028,22.2176747795413
288,-79.6839059206219,21.7629877897269
289,-79.5891251861545,21.3130319793242
290,-79.4964065031934,20.8681901260066
291,-79.4058780040656,20.428850060227
292,-79.3176679118156,19.9954042542632
293,-79.2319046130901,19.5682494130606
294,-79.1487167276596,19.1477860703648
295,-79.0682331747503,18.7344181912674
296,-78.99058323643,18.3285527847636
297,-78.9158966181218,17.930599527255
298,-78.8443035064123,17.5409703998204
299,-78.775934624292,17.1600793404202
300,-78.7109212839009,16.7883419130212
301,-78.6493954367969,16.4261749941001
302,-78.5914866734664,16.0739872846107
303,-78.5372357106519,15.7319169160951
304,-78.4865827496049,15.3997913004395
305,-78.4394645524322,15.0774181557642
306,NA,NA
307,-78.3555895828719,14.461147833002
308,-78.3187161318879,14.1668548389688
309,NA,NA
310,NA,NA
311,NA,NA
312,-78.2037025060129,13.0772767412274
313,NA,NA
314,NA,NA
315,NA,NA
316,NA,NA
317,-78.1292446685154,11.8971322328774
318,NA,NA
319,NA,NA
320,NA,NA
321,-78.1215700535632,11.0824872142946
322,NA,NA
323,-78.1341821716783,10.713611912186
324,-78.1444887507181,10.537997595128
325,-78.1574218686959,10.3679658955408
326,-78.1729519027924,10.2032929296766
327,NA,NA
328,NA,NA
329,-78.2348347652594,9.73919746542925
330,-78.2604658574843,9.59373371117816
331,NA,NA
332,-78.319067463449,9.31533338677728
333,NA,NA
334,NA,NA
335,NA,NA
336,-78.464871370237,8.80250029183652
337,NA,NA
338,NA,NA
339,NA,NA
340,-78.6473792794304,8.33888524016768
341,NA,NA
342,-78.7518597347659,8.12425717643326
343,NA,NA
344,NA,NA
345,NA,NA
346,NA,NA
347,NA,NA
348,NA,NA
349,NA,NA
350,NA,NA
351,NA,NA
352,-79.3979608241204,7.21353326202542
353,-79.473267965406,7.13667385785334
354,NA,NA
355,NA,NA
356,NA,NA
357,NA,NA
358,NA,NA
359,NA,NA
360,NA,NA
361,NA,NA
362,NA,NA
363,NA,NA
364,NA,NA
365,NA,NA
