"day","lon","lat"
1,-70.1148098483805,-36.62169267038
2,-70.1223810930853,-36.5743928707365
3,-70.1301705994134,-36.5250263122323
4,-70.138109415868,-36.4739329615526
5,-70.1461288287775,-36.4214531441166
6,-70.15416037791,-36.3679275632782
7,-70.1621358673659,-36.3136973111881
8,-70.1699873717985,-36.2591038715368
9,-70.1776472380058,-36.2044891144138
10,-70.1850480819467,-36.1501952835415
11,-70.1921227812274,-36.0965649761438
12,-70.1988044631097,-36.0439411157159
13,-70.2050264880866,-35.9926669179577
14,-70.2107224290697,-35.9430858501197
15,-70.2158260462274,-35.8955415839939
16,-70.2202712575089,-35.8503779427571
17,-70.2239921048815,-35.8079388418423
18,-70.2269227163006,-35.7685682239721
19,-70.2289972634239,-35.7326099884466
20,-70.2301590793115,-35.7003623078957
21,-70.2304191326748,-35.671786057255
22,-70.2298185305699,-35.6466906866373
23,-70.2283983038571,-35.6248846025987
24,-70.2261992920212,-35.606175930072
25,-70.2232621696223,-35.5903725585061
26,-70.2196274711536,-35.5772821849067
27,-70.2153356143265,-35.5667123539152
28,-70.2104269218094,-35.558470495042
29,-70.2049416414359,-35.5523639571591
30,-70.198919964901,-35.5482000403366
31,-70.1924020449563,-35.5457860250981
32,-70.1854280111164,-35.5449291991546
33,-70.1780379838849,-35.5454368816658
34,-70.1702720875062,-35.5471164450673
35,-70.1621704612486,-35.5497753344913
36,-70.1537732692203,-35.5532210848024
37,NA,NA
38,-70.1362539792807,-35.5616976204713
39,-70.1272287283942,-35.5662385339559
40,-70.1181117630227,-35.5705212443122
41,-70.1089702618074,-35.5741813431039
42,-70.0998714883623,-35.5768546808454
43,-70.0908827854349,-35.5781773480175
44,-70.0820715649466,-35.5777856448256
45,-70.0735052939094,-35.5753160397347
46,-70.0652514762257,-35.5704051168408
47,-70.057377630375,-35.5626895121696
48,NA,NA
49,-70.0430398384337,-35.5373906026835
50,-70.0367107441224,-35.5190801043242
51,-70.0310312521015,-35.4965103350842
52,-70.026068476445,-35.4693168600247
53,-70.0218893268187,-35.4371346928156
