"day","lon","lat"
1,-71.8554283860273,-37.2972993021933
2,-71.8483943862149,-37.3496274684557
3,-71.8416352089409,-37.3974138018718
4,-71.8351567038002,-37.4407055355178
5,-71.8289646412319,-37.479549430032
6,-71.8230647119756,-37.5139917677658
7,-71.8174625266574,-37.5440783480457
8,-71.8121636155006,-37.5698544834801
9,-71.8071734281633,-37.5913649972439
10,-71.8024973336974,-37.6086542212809
11,-71.7981406206308,-37.6217659953622
12,-71.7941084971681,-37.6307436669455
13,-71.7904060915099,-37.63563009178
14,-71.7870384522866,-37.6364676352061
15,-71.7840105491064,-37.6332981740998
16,-71.7813272732136,-37.6261630994154
17,-71.7789934382553,-37.6151033192815
18,-71.7770137811545,-37.6001592626081
19,-71.7753929630859,-37.5813708831648
20,-71.7741375446096,-37.5587728497608
21,-71.7732711907987,-37.5323574955165
22,-71.7728263210492,-37.5020952577485
23,-71.7728353164187,-37.4679561502706
24,-71.7733304270651,-37.4299100001319
25,-71.7743437516619,-37.3879265075084
26,-71.7759072156986,-37.3419753072004
27,-71.7780525486976,-37.2920260317979
28,-71.7808112603801,-37.2380483765691
29,-71.7842146158186,-37.1800121661216
30,-71.7882936096187,-37.1178874228849
31,-71.7930789391718,-37.0516444374529
32,-71.7986009770305,-36.9812538408205
33,-71.8048897424561,-36.9066866785439
34,-71.8119748721961,-36.8279144868434
35,-71.8198855905508,-36.744909370663
36,-71.8286506787929,-36.6576440836907
37,-71.8382984440072,-36.5660921103364
38,-71.8488541248638,-36.4702347274499
39,-71.860283607198,-36.3702144727146
40,-71.8724939546714,-36.2663346387775
41,-71.8853900868263,-36.1589054749859
42,-71.8988774339967,-36.0482371293621
43,-71.91286201417,-35.9346395769348
44,-71.9272504987746,-35.8184225524535
45,-71.9419502675433,-35.6998954877839
46,-71.9568694526317,-35.5793674543344
47,-71.9719169721917,-35.4571471108943
48,-71.9870025536223,-35.3335426573119
49,-72.0020367467264,-35.2088617944583
50,-72.0169309270158,-35.0834116909555
51,-72.0315972894081,-34.9574989571592
52,-72.0459488325566,-34.8314296269026
53,-72.0598993340525,-34.7055091475153
54,-72.0733633167277,-34.5800423786326
55,-72.0862560062728,-34.4553336003107
56,-72.098493696474,-34.3316841892229
57,-72.1100435159702,-34.209111580923
