"day","lon","lat"
1,-59.4433847634968,-37.5984959460676
2,-59.4799291859737,-37.9482210931805
3,-59.5214954160125,-38.2871530896228
4,-59.5677652895775,-38.6155361028015
5,-59.6184203990656,-38.9336006911238
6,-59.6731417920316,-39.2415644480662
7,-59.7316096870444,-39.5396326175259
8,-59.7935032067113,-39.8279986803876
9,-59.8585001279122,-40.1068449123844
10,-59.9262766492815,-40.376342913452
11,-59.996507175972,-40.6366541088698
12,-60.0688641217336,-40.8879302225453
13,-60.1430177283391,-41.1303137228468
14,-60.2186359023838,-41.3639382414223
15,-60.2953840694886,-41.5889289654537
16,-60.3729250459344,-41.8054030038078
17,-60.4509189277539,-42.0134697275399
18,NA,NA
19,-60.6068916474177,-42.4047818933782
20,-60.6841830318955,-42.5881909927047
21,-60.7605944895175,-42.7634001696935
22,-60.8358362991036,-42.9302983448224
23,-60.9096152080275,-43.0887684847197
24,-60.9816344668144,-43.2386877144193
25,-61.0515939362028,-43.3799273085225
26,-61.1191902305553,-43.5123526669111
27,-61.1841168984357,-43.6358232755892
28,-61.2460646411283,-43.7501926532903
29,-61.3047215698248,-43.8553082845658
30,-61.3597735021378,-43.9510115401636
31,-61.4109042985177,-44.0371375856209
32,-61.4577962390582,-44.1135152791236
33,-61.5001304410626,-44.1799670598443
34,-61.5375873176191,-44.2363088281388
35,-61.5698470772944,-44.2823498191842
36,-61.5965902648968,-44.3178924718589
37,-61.617498343083,-44.3427322949204
38,-61.6322825135468,-44.3566606313504
39,-61.640947590358,-44.359491558193
40,-61.64367390629,-44.3510494006859
41,-61.6406479357073,-44.3311508886131
42,-61.6320598696774,-44.2996044590932
43,-61.6181034067228,-44.2562097763098
44,-61.598975541581,-44.2007572392878
45,-61.5748763520988,-44.1330274768769
46,-61.5460087844223,-44.0527908291803
47,-61.5125784366619,-43.9598068147834
48,-61.4747933412473,-43.8538235832635
49,-61.4328637462124,-43.734577352615
50,-61.387001895672,-43.6017918314266
51,-61.3374218097923,-43.455177625845
52,-61.2843390645623,-43.2944316316565
53,-61.2279705717158,-43.1192364121002
54,-61.1685343591595,-42.9292595624102
55,-61.1062493522934,-42.7241530625071
56,-61.0413419179609,-42.5035512896097
57,-60.9741630513868,-42.2670472539786
58,-60.9051724063122,-42.0141950046038
59,-60.8348323433456,-41.7445297124021
60,-60.763603811776,-41.4575677107632
61,-60.6919459386241,-41.1528058054892
62,NA,NA
63,-60.549167117949,-40.4877677874115
64,-60.4789516587359,-40.1263815969369
65,-60.4101170429066,-39.744974116388
66,-60.3431072593939,-39.3429347997944
67,-60.2783621102715,-38.9196300041228
68,NA,NA
69,-60.1574018086532,-38.0065719270869
70,-60.1020420952789,-37.5154333653281
71,-60.0506572233163,-37.0002588210369
72,-60.0036608174544,-36.4602969023026
73,-59.9614603070584,-35.8947735868081
74,-59.9244654380273,-35.3029008624044
75,-59.8934201489506,-34.6841702309255
76,NA,NA
77,-59.8538887123448,-33.3656241176824
78,-59.8477602129023,-32.6655735253037
79,-59.8522675835156,-31.9381709205208
80,-59.8685496180332,-31.1832850514004
81,-59.8977306626803,-30.4007814322861
82,-59.9409218214415,-29.5905239118263
83,-59.9992223471802,-28.7523765176773
84,-60.0737211950666,-27.8862056330122
85,-60.1654987133325,-26.9918825641618
86,-60.2756284447365,-26.0692865626859
87,-60.4051790103858,-25.1183083687323
88,-60.5552160456288,-24.1388543454139
89,-60.7268041555761,-23.1308512758222
90,-60.9210088553121,-22.094251894809
91,-61.1388984569981,-21.0290412263463
92,-61.38154223631,-19.9352458881369
93,-61.6495780525842,-18.813196909357
94,-61.9428078483403,-17.663799182528
95,-62.2609577370115,-16.488117387579
