"day","lon","lat"
1,NA,NA
2,-69.6368267817106,-32.4168988173105
3,-69.6362353263367,-32.4565131511574
4,-69.6353452435409,-32.494193865626
5,NA,NA
6,-69.6326650161517,-32.5637941561498
7,NA,NA
8,-69.6287776242443,-32.6257769178661
9,-69.6263785993163,-32.653934836015
10,-69.6236746198934,-32.6802156393776
11,-69.6206646393006,-32.704627936692
12,-69.6173476147011,-32.7271801104042
13,-69.6137225071561,-32.7478803191018
14,-69.6097882816846,-32.7667364999417
15,NA,NA
16,-69.6009883571903,-32.7989474340352
17,NA,NA
18,-69.5909396428363,-32.8238720730976
19,-69.5854444457992,-32.833619590902
20,-69.5796340074815,-32.8415661887251
21,-69.5735088954848,-32.8477281085605
22,-69.567079607093,-32.8521831364541
23,-69.5603605005452,-32.8550328520928
24,-69.5533659411623,-32.8563786848064
25,-69.5461102921639,-32.8563218922063
26,-69.5386079141585,-32.854963590479
27,-69.5308731646607,-32.8524047825359
28,-69.5229203976346,-32.8487463840221
29,-69.5147639630645,-32.8440892471862
30,-69.5064182065517,-32.8385341826111
31,-69.497897468939,-32.8321819788086
32,-69.4892160859608,-32.8251334196787
33,-69.4803883879215,-32.8174892998342
34,-69.471428699399,-32.8093504377935
35,NA,NA
36,-69.4531706190025,-32.7919919449632
37,NA,NA
38,NA,NA
39,-69.4251519965891,-32.7647566929379
40,-69.4157097454689,-32.7556379317287
41,-69.4062554903362,-32.7464388082082
42,-69.3968151972993,-32.7370882654964
43,-69.3874148195257,-32.7275152048474
44,-69.3780802973256,-32.7176484822051
45,-69.3688375583247,-32.7074169033276
46,-69.3597125177265,-32.6967492174808
47,-69.3507310786653,-32.6855741096985
48,-69.341919132649,-32.67382019161
49,-69.3333025600916,-32.6614159908341
50,-69.3249072309374,-32.648289938936
51,-69.3167590053741,-32.6343703579503
52,-69.3088837346378,-32.6195854454611
53,-69.3013072619081,-32.6038632582437
54,-69.2940554232937,-32.5871316944599
55,NA,NA
56,-69.2806289640436,-32.5503511198084
57,-69.2745058612375,-32.5301576806732
58,-69.2688080565688,-32.5086797395125
59,-69.2635567829887,-32.4858707364526
60,-69.2587732052761,-32.4616842906105
61,NA,NA
62,-69.2506938160824,-32.4089922900522
63,NA,NA
64,NA,NA
65,-69.242611843779,-32.3184487412635
66,-69.2410791889391,-32.2850085023
67,NA,NA
68,-69.2398831628282,-32.2129489288931
69,NA,NA
70,-69.2413211068851,-32.1336559396032
71,-69.2430809723629,-32.091172329326
72,NA,NA
73,NA,NA
74,-69.2527797193271,-31.9517637724213
75,-69.2575563485147,-31.9011374890853
76,-69.2631221825022,-31.8484009722831
77,-69.269457733527,-31.7936257618137
78,-69.2765420065337,-31.7368881049122
79,-69.2843540255607,-31.6782643547744
80,-69.2928728330938,-31.6178310080884
81,NA,NA
82,NA,NA
83,NA,NA
84,-69.3335974058571,-31.3595385945714
85,NA,NA
86,-69.3576567688798,-31.2215400982923
87,NA,NA
88,NA,NA
89,NA,NA
90,NA,NA
91,NA,NA
92,NA,NA
93,NA,NA
94,NA,NA
95,NA,NA
96,-69.5083388121712,-30.4678959147806
97,NA,NA
98,-69.5436202943824,-30.3078991171673
99,NA,NA
100,-69.5804484849046,-30.1453422628023
101,-69.5994264450596,-30.0631471252044
102,NA,NA
103,NA,NA
104,NA,NA
105,NA,NA
106,NA,NA
107,NA,NA
108,NA,NA
109,NA,NA
110,NA,NA
111,-69.8083088418231,-29.211970118228
112,NA,NA
113,NA,NA
114,NA,NA
115,NA,NA
116,-69.9261547424187,-28.766188641938
117,NA,NA
118,NA,NA
119,NA,NA
120,NA,NA
